,Material,Dia,pp,TEMP,adm,Dem
3732,61449.0,nan,0.2,16.2,230.0,
4284,61565.0,2019-12-19,0.0,16.0,,89.0
721,7494.0,2020-01-30,5.1,13.4,32.0,101.0
1351,61468.0,2019-09-26,0.0,18.2,85.0,85.0
1025,61451.0,2019-08-27,0.0,19.5,151.0,83.0
2656,61522.0,2020-01-28,0.8,14.0,32.0,101.0
1295,61466.0,2019-11-21,0.0,14.0,86.0,118.0
4509,61418.0,2020-03-30,5.3,11.1,82.0,74.0
3085,61420.0,2019-01-23,0.1,12.0,55.0,97.0
3478,61491.0,2019-03-11,0.0,15.0,165.0,100.0
3286,61427.0,2019-02-15,0.0,12.7,87.0,
2119,61487.0,2019-11-06,0.0,16.0,86.0,118.0
3135,61438.0,2019-01-31,13.5,12.8,55.0,97.0
5054,61456.0,2019-05-24,0.0,16.7,,96.0
1302,61482.0,nan,0.0,15.0,36.0,89.0
4372,61437.0,2020-01-27,2.7,13.4,32.0,101.0
5610,61482.0,2020-01-14,0.8,12.2,32.0,101.0
5243,61388.0,2019-06-18,1.4,17.3,144.0,85.0
3414,61490.0,nan,20.1,11.4,165.0,100.0
2168,61448.4,2019-11-08,0.0,13.0,86.0,118.0
1954,61449.0,2019-08-26,0.0,20.4,151.0,83.0
336,61405.0,2019-09-30,0.0,19.5,85.0,85.0
5497,61535.0,2019-11-04,0.0,,86.0,118.0
6266,61613.0,2019-12-23,0.2,12.0,36.0,89.0
3460,61515.0,2019-03-08,0.0,12.5,165.0,100.0
1745,61441.0,2019-12-10,,10.0,36.0,89.0
5391,61468.0,2019-09-11,0.0,,85.0,85.0
3921,61449.0,2019-05-16,0.0,14.7,230.0,96.0
4155,61460.0,2019-11-29,0.0,17.0,,118.0
2868,61500.0,2020-02-28,0.0,12.6,62.0,68.0
6227,61532.0,2019-02-14,0.0,13.1,87.0,64.0
724,61500.0,2020-03-10,0.0,15.6,,74.0
765,61468.0,2020-03-31,0.1,8.4,82.0,74.0
286,61443.0,2019-09-30,0.0,19.5,85.0,85.0
5709,61489.0,2020-03-05,0.9,13.4,82.0,74.0
307,61450.0,2019-09-30,0.0,19.5,85.0,85.0
3801,61494.0,2019-05-15,0.0,20.8,230.0,96.0
3896,61460.0,2019-05-16,0.0,14.7,230.0,96.0
4879,61405.0,2019-03-22,0.0,14.7,165.0,100.0
3773,61449.0,2019-05-14,0.0,23.6,230.0,96.0
2275,61387.0,2019-11-14,0.0,13.0,86.0,
5686,61535.0,2020-02-19,0.0,13.1,62.0,68.0
2578,61495.0,2020-01-24,3.6,9.7,32.0,101.0
2944,61389.0,2020-03-09,0.0,13.5,82.0,74.0
4400,61432.0,2020-02-21,0.0,15.0,62.0,68.0
5319,61418.0,2019-09-06,0.0,,85.0,85.0
1832,61467.0,2019-12-11,0.0,12.0,36.0,89.0
71,61439.0,2019-03-29,0.0,15.2,165.0,100.0
5620,61480.0,2020-01-29,0.0,13.7,32.0,101.0
711,61533.0,2020-01-30,5.1,13.4,32.0,101.0
4334,61448.0,2020-01-27,2.7,13.4,32.0,101.0
1020,42326.0,2019-08-27,0.0,19.5,151.0,83.0
2337,61435.0,2019-11-26,0.0,17.0,86.0,118.0
1554,61511.0,2019-06-26,0.5,18.1,144.0,85.0
2552,61492.0,2020-01-15,0.1,14.8,32.0,101.0
737,61490.0,2020-03-31,0.1,8.4,82.0,74.0
1918,61386.0,2019-08-26,0.0,20.4,151.0,83.0
3659,61439.0,2019-05-08,6.0,14.6,230.0,96.0
2704,61407.0,2020-01-28,,14.0,32.0,101.0
1760,61281.0,2019-12-10,0.0,10.0,36.0,89.0
5825,61389.0,2019-10-29,0.0,19.0,87.0,239.0
5337,61562.0,2019-09-06,,24.9,85.0,85.0
2338,61482.0,2019-11-26,0.0,,86.0,118.0
1210,61436.0,2019-09-02,0.0,23.0,85.0,85.0
3089,61512.0,2019-01-23,0.1,12.0,55.0,97.0
1095,61405.0,2019-03-20,0.0,,165.0,100.0
6080,61468.0,2020-05-07,0.0,19.0,79.0,36.0
3978,61417.0,2019-08-29,0.0,21.0,151.0,
3583,61405.0,2019-04-11,0.0,12.7,172.0,84.0
2758,61422.0,2020-02-26,0.0,11.9,62.0,68.0
4189,61458.0,2019-11-29,0.0,17.0,86.0,118.0
978,61489.0,2019-02-26,,14.3,87.0,64.0
4447,61391.0,2020-03-27,0.0,12.3,82.0,74.0
1699,61512.0,2020-01-31,7.3,14.4,32.0,101.0
5342,61434.0,2019-09-06,0.0,24.9,85.0,85.0
3879,61394.0,2019-05-16,0.0,14.7,230.0,96.0
1509,61437.0,2019-10-30,0.0,19.0,87.0,239.0
5524,61464.0,2019-12-20,15.8,14.9,36.0,89.0
344,61475.0,2019-09-30,0.0,19.5,,85.0
2436,61433.0,2019-11-30,0.0,16.0,86.0,118.0
911,61391.0,2019-08-30,0.0,22.2,151.0,83.0
1971,61406.0,2019-08-26,0.0,20.4,151.0,
47,61536.0,2019-03-29,0.0,15.2,165.0,100.0
4486,61419.0,2020-03-27,0.0,12.3,82.0,74.0
5435,61435.8,2019-09-18,0.0,19.0,85.0,85.0
1350,61145.0,2019-09-26,0.0,18.2,85.0,85.0
443,61435.0,2019-05-13,0.0,25.8,230.0,96.0
5898,61424.0,2020-02-17,1.0,13.5,62.0,68.0
1061,61533.0,2019-08-27,0.0,19.5,151.0,83.0
3458,61458.0,2019-03-08,0.0,12.5,165.0,100.0
5802,61418.0,2019-05-20,0.0,15.4,230.0,96.0
3279,61547.0,2019-02-15,0.0,12.7,87.0,64.0
2402,61470.0,2019-11-27,0.0,15.0,86.0,118.0
3337,61469.0,2019-02-19,0.0,11.7,87.0,64.0
2531,61438.0,2019-12-18,0.0,16.0,36.0,89.0
4880,61420.0,2019-03-22,0.0,14.7,165.0,100.0
4183,61449.0,2019-11-29,0.0,17.0,86.0,118.0
5574,61467.0,2019-12-30,0.0,11.5,36.0,89.0
1055,61432.0,2019-08-27,0.0,19.5,151.0,83.0
848,61514.0,2020-05-14,0.0,14.0,79.0,36.0
2966,61478.4,2020-03-25,0.0,14.6,82.0,74.0
4121,61388.0,2019-11-11,0.0,16.0,,118.0
1294,61387.0,2019-11-21,0.0,14.0,86.0,118.0
1883,61447.0,2019-08-23,0.0,26.0,,83.0
3038,61465.0,2020-05-11,0.0,16.0,79.0,36.0
5862,61433.0,2020-02-06,0.0,13.3,62.0,
4479,61490.0,2020-03-27,0.0,12.3,,74.0
4475,61456.0,2020-03-27,0.0,12.3,82.0,74.0
3540,61467.0,2019-03-18,0.0,13.0,165.0,100.0
1112,61406.0,2019-03-20,0.0,14.5,165.0,100.0
4604,61422.0,2020-04-24,0.0,,28.0,71.0
776,7494.0,2020-03-31,0.1,8.4,82.0,74.0
5936,61512.0,2020-03-04,0.0,15.1,,74.0
183,61501.6,2019-06-28,0.0,19.7,144.0,85.0
2345,61468.0,2019-11-26,0.0,17.0,86.0,118.0
4288,61421.0,2019-12-19,0.0,16.0,36.0,89.0
1488,61441.0,2019-10-30,0.0,19.0,87.0,239.0
4959,61417.0,2019-04-17,,13.1,172.0,84.0
734,61448.0,nan,0.1,8.4,,74.0
1978,61388.0,2019-08-26,0.0,,151.0,83.0
5152,61528.0,2019-06-11,0.0,16.0,144.0,85.0
1168,61387.0,2019-04-10,,12.5,172.0,84.0
1569,61472.4,2019-06-26,0.5,18.1,144.0,85.0
1545,61462.0,2019-06-26,0.5,18.1,144.0,85.0
3912,61419.0,2019-05-16,0.0,14.7,230.0,96.0
4502,61388.0,2020-03-27,0.0,12.3,82.0,74.0
3560,61419.0,2019-04-11,0.0,12.7,172.0,84.0
5717,61436.0,nan,0.9,13.4,82.0,74.0
485,61440.0,2019-06-07,0.0,15.1,144.0,85.0
1451,61512.0,2019-05-17,0.0,,230.0,96.0
452,61434.0,2019-05-13,0.0,25.8,230.0,96.0
3102,61482.0,2019-01-23,0.1,12.0,55.0,97.0
3033,61450.0,2020-05-11,0.0,,79.0,36.0
4663,61512.0,2020-04-29,1.5,14.5,28.0,71.0
5023,61451.0,2019-05-22,0.0,17.4,230.0,96.0
3235,61450.0,2019-02-07,0.0,11.8,87.0,64.0
30,61519.0,2019-03-29,0.0,15.2,165.0,100.0
789,61390.0,2020-04-30,0.1,15.4,28.0,71.0
2937,61450.0,2020-03-09,0.0,13.5,82.0,74.0
3296,61551.0,2019-02-15,0.0,12.7,87.0,64.0
1535,61446.0,2019-06-26,0.5,,144.0,85.0
2476,61385.0,2019-12-05,0.0,13.0,36.0,89.0
3123,61532.0,2019-01-30,4.9,11.9,55.0,97.0
1109,61448.0,2019-03-20,0.0,14.5,165.0,100.0
100,61432.0,nan,0.0,15.2,165.0,100.0
4275,61490.0,nan,0.0,16.0,36.0,89.0
3128,61388.0,2019-01-30,4.9,11.9,55.0,97.0
4581,61516.0,2020-04-21,2.1,13.2,,71.0
2187,61482.0,2019-11-08,0.0,13.0,86.0,118.0
3859,61512.0,2019-05-15,0.0,20.8,230.0,96.0
1859,61500.0,2019-08-23,0.0,,151.0,83.0
1083,42328.0,2019-03-20,0.0,14.5,165.0,100.0
5666,61527.0,2020-02-05,0.0,13.9,62.0,68.0
861,61506.0,2019-11-22,0.0,16.0,86.0,118.0
4192,61407.0,2019-11-29,0.0,17.0,86.0,118.0
903,61478.0,2019-08-30,0.0,22.2,151.0,83.0
5044,61388.0,2019-05-22,0.0,17.4,230.0,96.0
109,61396.0,2019-03-29,0.0,15.2,,100.0
3690,61418.0,2019-05-08,6.0,14.6,230.0,96.0
1665,53416.0,2019-04-29,0.0,18.4,172.0,
5587,61487.6,2019-12-30,0.0,11.5,36.0,89.0
1539,61500.0,2019-06-26,0.5,18.1,,85.0
4961,61491.0,2019-04-24,6.4,13.3,172.0,84.0
2213,61503.0,2019-11-13,0.0,16.0,86.0,118.0
1770,61500.0,nan,0.0,12.0,36.0,89.0
3885,61439.0,2019-05-16,0.0,14.7,230.0,96.0
6131,61430.0,2020-05-05,0.0,18.0,79.0,
927,61469.0,2019-08-30,0.0,22.2,151.0,83.0
5079,61407.0,2019-05-24,0.0,16.7,230.0,96.0
3172,61442.0,2019-01-31,13.5,12.8,55.0,97.0
2753,61419.0,2020-02-26,0.0,11.9,62.0,68.0
5285,61514.0,2019-06-19,0.6,18.1,144.0,85.0
6076,61443.0,2020-05-07,0.0,19.0,79.0,36.0
4942,61501.0,2019-04-17,5.2,13.1,172.0,84.0
5896,61390.0,2020-02-17,1.0,13.5,62.0,68.0
4174,61419.0,2019-11-29,0.0,17.0,86.0,
1094,61403.0,2019-03-20,0.0,14.5,165.0,100.0
1121,61388.0,2019-03-20,0.0,14.5,165.0,100.0
3270,61533.0,nan,0.0,11.8,87.0,64.0
6125,61512.0,nan,0.0,18.0,79.0,36.0
3685,61407.0,2019-05-08,,14.6,230.0,96.0
809,61418.0,2020-04-30,0.1,15.4,28.0,71.0
1559,61489.0,2019-06-26,0.5,18.1,144.0,85.0
2099,61387.0,2019-11-06,0.0,16.0,86.0,118.0
6071,61407.0,2020-05-07,0.0,19.0,79.0,36.0
5135,61396.0,2019-06-11,,16.0,144.0,
6181,61495.0,2019-02-25,0.0,15.2,87.0,64.0
4398,61405.0,2020-02-21,0.0,15.0,62.0,68.0
5814,61491.0,2019-10-29,,19.0,87.0,239.0
4800,61436.0,nan,0.7,11.6,55.0,97.0
5912,61389.0,2020-02-17,1.0,13.5,62.0,68.0
5418,61395.0,2019-09-18,0.0,19.0,85.0,85.0
1657,61466.0,2020-02-12,0.0,12.8,62.0,68.0
2603,61387.0,2020-01-24,3.6,9.7,32.0,101.0
2526,61389.0,2019-12-18,0.0,16.0,36.0,89.0
5470,61438.0,2019-09-25,0.0,17.7,85.0,85.0
5509,61421.0,2019-12-20,15.8,14.9,36.0,
1951,61387.0,2019-08-26,0.0,20.4,151.0,
3525,61488.0,2019-03-18,0.0,13.0,165.0,100.0
3150,61390.0,2019-01-31,13.5,12.8,55.0,97.0
3318,61490.0,2019-02-19,0.0,11.7,87.0,64.0
1872,61438.0,nan,0.0,26.0,151.0,83.0
6153,61469.0,2019-02-18,1.1,10.5,87.0,64.0
3821,61434.0,2019-05-15,0.0,20.8,230.0,96.0
2728,61403.0,2020-02-26,0.0,11.9,62.0,68.0
1204,61468.0,2019-09-02,0.0,23.0,85.0,85.0
5886,61417.0,2020-02-07,0.0,13.4,62.0,
2110,61512.0,2019-11-06,0.0,16.0,,118.0
6218,61441.8,2020-03-02,0.9,13.7,82.0,74.0
5114,61434.0,2019-06-06,3.4,14.7,144.0,
1732,61479.0,2019-12-10,0.0,10.0,36.0,89.0
4630,61515.0,2020-04-28,0.0,14.4,28.0,71.0
6241,61483.0,2019-12-03,0.0,11.0,,89.0
518,61514.0,2019-06-07,0.0,15.1,,85.0
829,61460.0,2020-05-14,0.0,14.0,79.0,36.0
1870,61421.0,2019-08-23,0.0,26.0,151.0,83.0
1876,61512.0,2019-08-23,0.0,26.0,151.0,83.0
438,61449.0,2019-05-13,0.0,25.8,230.0,96.0
627,61514.0,2019-11-12,0.0,14.0,86.0,118.0
1684,61534.0,2020-01-31,7.3,14.4,32.0,101.0
5373,61482.0,2019-09-11,0.0,20.4,85.0,85.0
925,61464.0,nan,0.0,22.2,151.0,83.0
4653,61419.0,2020-04-29,1.5,14.5,28.0,71.0
295,61600.0,2019-09-30,0.0,19.5,85.0,85.0
1052,61514.0,2019-08-27,0.0,19.5,151.0,83.0
3169,61386.0,2019-01-31,13.5,12.8,55.0,97.0
4526,61433.0,2020-04-17,2.2,,28.0,71.0
1173,42336.0,2019-09-02,0.0,23.0,85.0,85.0
5361,61491.0,2019-09-11,0.0,,85.0,85.0
2417,61529.0,2019-11-27,0.0,15.0,86.0,118.0
5495,61490.0,2019-11-04,0.0,17.0,86.0,118.0
944,61460.0,2019-08-30,0.0,22.2,151.0,83.0
4987,61516.0,2019-04-30,0.0,,172.0,84.0
2549,61482.0,2020-01-15,0.1,14.8,32.0,101.0
12,61542.0,2019-03-29,,15.2,165.0,
1117,61533.0,2019-03-20,0.0,14.5,165.0,100.0
4561,61533.0,2020-04-20,8.1,12.9,28.0,71.0
2841,61394.0,2020-02-28,0.0,12.6,62.0,68.0
3615,61394.0,2019-04-18,1.5,13.5,172.0,84.0
642,61407.0,2020-01-10,0.0,10.7,32.0,
2463,61467.0,nan,0.0,16.0,86.0,118.0
1743,61435.0,2019-12-10,0.0,10.0,36.0,89.0
3918,61432.2,2019-05-16,0.0,14.7,230.0,96.0
2970,61451.0,2020-03-25,0.0,14.6,82.0,
1319,61421.0,nan,0.0,18.2,85.0,85.0
4250,61465.0,2019-12-09,0.0,14.0,36.0,89.0
1616,61503.8,2019-06-27,0.0,18.5,144.0,
5740,61532.0,2020-03-16,0.0,10.9,82.0,74.0
4209,61446.8,2019-12-04,0.0,10.0,36.0,89.0
2763,61389.0,2020-02-26,0.0,11.9,62.0,68.0
2462,61442.2,2019-11-30,0.0,16.0,86.0,118.0
2523,61406.0,2019-12-18,0.0,16.0,36.0,89.0
4738,61420.0,2020-05-13,0.0,14.0,79.0,36.0
3889,61492.0,2019-05-16,0.0,14.7,230.0,96.0
653,61389.0,2020-01-10,0.0,10.7,,101.0
429,61456.0,2019-05-13,0.0,25.8,230.0,96.0
1916,61470.4,2019-08-26,0.0,20.4,151.0,83.0
1965,61515.0,2019-08-26,0.0,20.4,151.0,83.0
3112,61500.0,2019-01-30,4.9,11.9,55.0,
5035,61387.0,2019-05-22,0.0,,230.0,
4539,61436.0,2020-04-20,8.1,12.9,,71.0
1891,61433.0,2019-08-23,0.0,26.0,151.0,83.0
5277,61406.0,2019-06-19,0.6,18.1,144.0,85.0
838,61406.0,2020-05-14,0.0,14.0,79.0,36.0
1087,61480.0,2019-03-20,0.0,14.5,165.0,100.0
2943,61490.0,2020-03-09,0.0,13.5,,74.0
4564,61386.0,2020-04-21,2.1,13.2,28.0,71.0
1643,61387.0,2020-02-12,0.0,12.8,,68.0
4001,61442.0,2019-10-01,0.0,21.0,87.0,239.0
6184,61396.0,2019-02-25,0.0,15.2,87.0,64.0
856,61436.0,2019-11-22,0.0,16.0,86.0,118.0
2328,61469.0,nan,0.0,17.0,86.0,118.0
1765,61455.0,2019-12-11,0.0,12.0,36.0,89.0
1448,61483.0,2019-05-17,0.0,13.9,230.0,96.0
5050,61533.0,2019-05-22,0.0,17.4,230.0,96.0
5874,61535.0,2020-02-06,0.0,13.3,62.0,68.0
2932,61516.0,nan,0.0,13.5,82.0,74.0
4956,61434.0,2019-04-17,5.2,13.1,172.0,84.0
3982,61418.0,2019-08-29,0.0,21.0,151.0,
3164,61449.0,2019-01-31,13.5,12.8,55.0,97.0
693,61573.0,2020-01-30,5.1,,32.0,101.0
5585,61515.0,2019-12-30,0.0,11.5,36.0,89.0
4610,61407.0,2020-04-24,0.0,15.3,28.0,71.0
188,61475.6,nan,0.0,19.7,144.0,85.0
287,61476.0,2019-09-30,0.0,19.5,85.0,85.0
3759,61394.0,2019-05-14,0.0,23.6,230.0,96.0
5525,61482.0,2019-12-20,15.8,,36.0,89.0
169,61443.0,nan,0.0,19.7,144.0,85.0
4638,61467.0,nan,0.0,14.4,28.0,71.0
3127,61535.0,2019-01-30,4.9,11.9,55.0,97.0
4053,61468.0,2019-11-07,0.0,15.0,86.0,118.0
1338,61482.0,2019-09-26,0.0,18.2,85.0,85.0
2298,61469.0,2019-11-14,0.0,13.0,86.0,118.0
2598,61503.0,2020-01-24,3.6,9.7,32.0,101.0
2828,61490.0,2020-02-28,0.0,12.6,62.0,68.0
2899,61533.0,2020-02-28,0.0,12.6,62.0,68.0
4728,61460.0,2020-05-13,0.0,14.0,79.0,36.0
3951,61479.0,2019-08-29,,21.0,151.0,83.0
210,61439.0,2019-06-28,0.0,19.7,144.0,85.0
2865,61480.0,2020-02-28,0.0,12.6,62.0,68.0
1650,61458.0,2020-02-12,0.0,12.8,62.0,68.0
5179,61456.0,2019-06-12,0.0,15.5,144.0,85.0
3119,61465.0,2019-01-30,4.9,11.9,55.0,97.0
73,61590.0,2019-03-29,0.0,15.2,165.0,100.0
3910,61483.0,2019-05-16,0.0,14.7,230.0,96.0
2788,61488.0,2020-02-27,0.0,13.6,62.0,68.0
5160,61489.0,2019-06-12,0.0,15.5,144.0,85.0
2886,61459.0,2020-02-28,0.0,12.6,62.0,68.0
4169,61459.0,2019-11-29,0.0,17.0,86.0,118.0
3648,61492.0,2019-05-08,6.0,14.6,230.0,96.0
2900,61387.0,2020-02-28,0.0,12.6,62.0,68.0
4122,61484.0,2019-11-11,,16.0,86.0,118.0
2245,61456.0,2019-11-13,0.0,16.0,,118.0
3647,61487.0,2019-05-08,6.0,14.6,230.0,96.0
5850,61419.0,2019-12-26,0.0,13.0,36.0,89.0
2715,61456.0,2020-02-26,0.0,11.9,62.0,68.0
1231,61388.0,2019-10-31,0.0,20.0,87.0,239.0
3790,61407.0,2019-05-14,0.0,23.6,230.0,96.0
4593,61450.0,2020-04-24,,15.3,28.0,71.0
3825,61501.0,2019-05-15,0.0,20.8,230.0,96.0
4482,61512.0,2020-03-27,0.0,12.3,82.0,74.0
6137,61514.0,2020-05-05,0.0,18.0,79.0,36.0
1379,61458.0,2019-08-22,0.0,25.9,151.0,83.0
4733,61389.0,2020-05-13,0.0,14.0,79.0,36.0
1912,61486.0,2019-08-26,0.0,20.4,151.0,83.0
113,61465.0,2019-03-29,0.0,15.2,165.0,100.0
5547,61520.0,2019-12-20,15.8,14.9,36.0,89.0
2370,61471.6,2019-11-27,0.0,15.0,86.0,118.0
1438,61534.0,nan,0.0,13.9,230.0,96.0
4586,61514.0,2020-04-21,2.1,13.2,28.0,71.0
3527,61514.0,2019-03-18,0.0,13.0,165.0,100.0
4967,61395.0,2019-04-24,6.4,13.3,172.0,84.0
3265,61434.0,2019-02-07,0.0,11.8,87.0,64.0
2584,61402.0,2020-01-24,3.6,9.7,32.0,101.0
507,61434.0,nan,0.0,15.1,144.0,85.0
2414,61522.0,nan,0.0,15.0,86.0,118.0
6146,61521.0,2019-02-11,0.0,11.3,87.0,64.0
4332,61395.0,2020-01-27,2.7,13.4,32.0,101.0
4535,61513.0,2020-04-17,2.2,14.7,28.0,71.0
2705,61449.0,2020-01-28,,14.0,32.0,101.0
6000,61441.2,2020-04-03,0.0,14.0,28.0,71.0
3895,61436.0,2019-05-16,0.0,14.7,230.0,96.0
252,61482.0,2019-06-28,0.0,19.7,144.0,85.0
2818,61467.0,2020-02-27,,13.6,62.0,68.0
350,61458.0,2019-09-30,0.0,19.5,85.0,85.0
4628,61459.0,2020-04-28,0.0,14.4,28.0,71.0
2864,61464.0,2020-02-28,0.0,12.6,62.0,68.0
1897,61435.0,2019-08-23,0.0,26.0,151.0,83.0
457,61533.0,2019-05-13,0.0,25.8,230.0,96.0
6073,61426.0,2020-05-07,0.0,19.0,79.0,36.0
479,61504.0,2019-06-07,0.0,15.1,144.0,85.0
1114,61417.0,2019-03-20,0.0,14.5,,100.0
798,61460.0,2020-04-30,0.1,15.4,28.0,71.0
4414,61417.0,2020-02-21,0.0,15.0,62.0,68.0
298,61446.0,2019-09-30,0.0,19.5,85.0,85.0
3181,61515.0,2019-01-31,13.5,12.8,55.0,97.0
26,61462.0,2019-03-29,0.0,15.2,165.0,100.0
3399,61417.0,2019-03-06,11.8,12.1,165.0,100.0
2589,61439.0,2020-01-24,3.6,9.7,32.0,101.0
2638,61396.0,2020-01-28,0.8,14.0,32.0,
3608,61457.0,2019-04-18,1.5,13.5,172.0,84.0
2104,61421.0,2019-11-06,0.0,16.0,86.0,118.0
1287,61529.0,2019-11-21,0.0,14.0,86.0,118.0
1281,61516.0,2019-11-21,0.0,14.0,86.0,118.0
229,61520.0,2019-06-28,0.0,19.7,144.0,85.0
2908,61417.0,2020-03-09,0.0,13.5,82.0,74.0
2846,61443.0,2020-02-28,0.0,12.6,62.0,68.0
4339,61491.0,2020-01-27,,13.4,32.0,101.0
1786,61390.0,2019-12-11,0.0,12.0,36.0,89.0
4369,61482.0,2020-01-27,2.7,13.4,32.0,101.0
6275,61535.0,2020-02-03,0.0,15.8,,68.0
4930,61431.0,2019-04-17,5.2,,172.0,84.0
4606,61449.0,2020-04-24,0.0,15.3,28.0,71.0
3973,61435.0,2019-08-29,0.0,21.0,151.0,83.0
5195,61533.0,2019-06-12,0.0,15.5,144.0,85.0
5167,61431.0,2019-06-12,,15.5,144.0,85.0
4176,61390.0,2019-11-29,,17.0,86.0,118.0
1614,61522.0,2019-06-27,0.0,18.5,144.0,85.0
607,61430.0,2019-11-12,0.0,14.0,86.0,118.0
4582,61458.0,2020-04-21,2.1,13.2,28.0,71.0
4774,61480.0,2019-01-25,0.0,13.8,55.0,97.0
3750,61478.0,2019-05-14,0.0,23.6,230.0,96.0
3968,61490.0,2019-08-29,0.0,21.0,151.0,83.0
3612,61534.0,2019-04-18,1.5,13.5,,84.0
5077,61512.0,2019-05-24,,16.7,,96.0
6167,61467.0,2019-02-18,1.1,10.5,87.0,64.0
6171,61420.0,2019-02-18,1.1,10.5,87.0,64.0
3668,61516.0,nan,6.0,14.6,230.0,96.0
203,61441.0,2019-06-28,0.0,19.7,,85.0
339,61529.0,2019-09-30,0.0,19.5,85.0,85.0
4456,61436.0,2020-03-27,0.0,12.3,82.0,
837,61405.0,2020-05-14,0.0,14.0,79.0,36.0
5947,61435.0,2020-03-04,0.0,15.1,82.0,74.0
4907,61533.0,2019-03-22,0.0,14.7,165.0,100.0
387,53240.0,2019-03-04,1.2,13.8,165.0,100.0
2795,61433.0,2020-02-27,0.0,13.6,62.0,68.0
4753,61387.0,2020-05-13,0.0,14.0,79.0,36.0
3226,61434.0,2019-02-06,0.0,11.8,87.0,64.0
4747,61482.0,2020-05-13,0.0,14.0,79.0,36.0
1609,61419.0,2019-06-27,0.0,18.5,144.0,85.0
3237,61458.0,2019-02-07,0.0,,87.0,64.0
3689,61386.0,2019-05-08,6.0,14.6,230.0,96.0
5548,61523.0,2019-12-20,15.8,14.9,36.0,89.0
5146,61535.0,2019-06-11,0.0,16.0,144.0,85.0
4443,61511.0,2020-03-27,,12.3,82.0,74.0
3308,61467.0,2019-02-15,0.0,12.7,87.0,64.0
1825,61418.0,2019-12-11,0.0,12.0,36.0,89.0
3827,61405.0,2019-05-15,0.0,20.8,230.0,96.0
5582,61533.0,2019-12-30,0.0,11.5,36.0,89.0
3529,61482.0,2019-03-18,0.0,13.0,165.0,100.0
3861,61386.0,2019-05-15,0.0,20.8,230.0,96.0
677,61404.0,2020-01-30,5.1,13.4,32.0,101.0
4796,61480.0,2019-01-29,0.7,11.6,55.0,97.0
3400,61432.0,2019-03-06,11.8,12.1,165.0,100.0
1867,61395.0,2019-08-23,0.0,26.0,151.0,83.0
61,61502.0,2019-03-29,0.0,15.2,165.0,100.0
5870,61435.0,2020-02-06,0.0,13.3,62.0,68.0
5731,61397.0,2020-03-16,0.0,10.9,82.0,74.0
4328,61513.0,2020-01-23,0.1,8.9,32.0,101.0
4885,61456.0,2019-03-22,0.0,14.7,165.0,100.0
2499,61390.0,2019-12-18,0.0,16.0,36.0,89.0
790,61391.0,2020-04-30,0.1,15.4,,71.0
4205,61492.0,2019-12-04,0.0,10.0,36.0,
3541,61515.0,2019-03-18,0.0,13.0,165.0,100.0
6060,61434.0,nan,0.0,19.0,79.0,36.0
3443,61532.0,2019-03-07,20.1,11.4,165.0,100.0
