,white_king_col,white_king_row,white_rook_col,white_rook_row,black_king_col,black_king_row
20168,d,2,b,3,a,5
27359,d,1,b,6,e,3
6366,d,4,d,8,h,2
3128,d,3,e,5,d,1
7888,d,3,h,6,g,2
8101,d,4,d,1,h,7
15657,d,2,d,1,d,7
10300,d,4,h,8,f,4
17678,b,2,d,3,h,5
12591,d,3,d,6,f,7
17913,c,1,b,1,a,3
1847,d,1,f,3,e,3
16809,a,1,c,6,h,7
10646,b,1,h,4,e,2
2188,d,2,f,3,g,4
14760,c,2,h,7,a,7
17012,b,1,a,5,e,4
1298,c,2,e,7,e,8
7900,d,4,a,1,g,2
18616,c,2,b,5,g,4
2781,d,4,h,5,g,5
27622,d,1,g,4,f,6
12038,d,2,d,3,a,8
23141,c,1,e,1,a,3
19004,c,2,g,3,d,8
24161,d,1,a,2,b,7
6778,b,2,a,8,f,1
27062,c,1,d,7,g,6
8972,c,2,e,5,g,2
21280,b,1,a,1,h,5
9402,d,1,h,5,d,3
11734,d,1,d,3,b,6
22572,b,2,h,3,g,7
22105,b,1,h,4,a,7
21327,b,1,a,2,c,7
26424,b,1,f,7,b,5
21707,b,1,d,5,f,7
16143,d,3,b,2,g,6
5163,d,4,h,3,c,2
12567,d,3,d,4,f,6
9383,d,1,f,8,h,8
20280,d,2,c,2,h,6
20987,a,1,b,1,g,7
14229,c,2,a,5,c,5
8074,d,4,c,6,f,3
27212,c,1,g,2,a,3
1443,c,2,h,5,b,6
14263,c,2,a,8,h,8
20612,d,2,g,3,e,5
5865,d,2,c,5,g,2
11117,c,2,b,6,h,8
10790,b,2,f,8,d,3
5928,d,2,h,5,g,1
1833,d,1,e,8,d,7
20390,d,2,d,7,g,5
13953,c,1,d,7,a,4
9838,d,3,e,2,f,4
6551,d,4,g,7,g,1
21237,a,1,h,2,c,2
15819,d,2,e,8,b,6
18176,c,1,e,7,a,3
1472,c,3,e,1,a,1
19412,c,3,h,1,h,4
3233,d,1,c,2,a,1
28004,b,1,f,2,d,5
1026,c,1,f,8,g,7
3559,d,1,h,5,f,1
8763,c,1,d,4,g,1
1174,c,2,b,6,c,7
18975,c,2,g,2,c,4
14816,c,3,a,7,e,3
14776,c,3,a,1,b,5
8616,b,2,c,1,d,1
16687,d,3,h,8,d,7
9125,c,3,b,5,f,2
25807,a,1,e,5,g,3
9939,d,3,f,2,f,6
17536,b,1,h,8,a,6
26199,b,1,c,5,f,3
7091,c,2,d,4,a,8
27194,c,1,f,8,a,4
1197,c,2,c,5,a,6
23135,c,1,e,1,b,4
19787,d,1,e,7,g,4
4577,c,1,e,3,f,1
27663,d,1,g,8,f,5
10984,c,1,f,3,f,6
10042,d,3,h,5,g,8
12562,d,3,d,4,g,6
13825,c,1,a,5,e,2
554,b,1,h,4,h,3
25834,a,1,e,6,h,6
22185,b,2,a,1,d,3
21151,a,1,e,7,c,1
6682,b,1,c,4,b,8
19529,d,1,b,3,f,3
9621,d,2,f,5,h,7
22795,c,1,a,8,a,3
1206,c,2,c,6,c,5
11175,c,2,d,7,c,7
11679,d,1,c,2,a,4
27739,a,1,c,7,d,2
15118,d,1,a,1,a,5
27723,a,1,c,3,g,7
3848,d,3,g,8,h,1
7468,d,2,c,5,f,4
3740,d,3,c,5,c,1
14667,c,2,g,5,a,7
4182,d,2,c,8,h,1
7685,d,3,c,8,b,4
9932,d,3,f,2,g,4
19821,d,1,f,6,a,8
17577,b,2,a,6,h,3
15101,c,3,h,6,g,3
13294,b,1,a,6,b,8
3349,d,2,h,1,a,1
19314,c,3,d,1,f,3
7439,d,2,a,5,g,4
24420,d,1,b,4,a,6
24638,d,1,d,5,b,8
24057,c,2,h,3,a,3
19681,d,1,e,1,a,8
1572,c,3,g,5,h,5
15846,d,2,f,6,a,8
10515,b,1,c,7,e,5
12157,d,2,e,4,e,8
4219,d,2,e,6,f,1
19326,c,3,d,3,e,4
18896,c,2,f,2,d,6
24998,d,1,g,6,f,6
411,b,1,e,7,f,8
820,c,1,b,7,c,6
18418,c,2,a,2,f,4
5090,d,4,d,3,b,2
621,b,2,e,5,a,4
19533,d,1,b,5,f,3
744,b,2,h,6,g,7
3080,c,3,g,7,a,1
23934,c,2,f,7,d,5
6538,d,4,g,6,f,1
26198,b,1,c,5,e,5
14835,c,3,b,1,e,3
8485,b,1,c,8,b,3
3288,d,2,d,7,b,1
6948,c,1,c,6,h,1
21322,b,1,a,2,c,5
18455,c,2,a,4,f,5
12783,d,3,g,6,f,8
6352,d,4,d,3,b,2
2165,d,2,e,7,e,6
14077,c,1,f,6,g,3
11850,d,1,f,7,b,8
1584,c,3,g,7,h,7
10843,c,1,c,5,g,7
14718,c,2,h,3,a,4
12730,d,3,f,5,g,5
20542,d,2,f,5,b,8
3138,d,3,g,5,a,1
9594,d,2,f,2,h,2
21257,a,1,h,5,h,8
12838,d,3,h,4,e,6
27428,d,1,c,6,d,3
8279,d,4,h,1,h,8
23063,c,1,d,2,d,7
19305,c,3,c,7,b,5
13748,b,2,f,7,h,7
1287,c,2,e,6,c,6
7363,c,3,h,6,d,1
6741,b,1,g,6,f,1
27067,c,1,d,8,f,2
5099,d,4,e,3,g,1
8200,d,4,e,6,h,4
23220,c,1,e,7,b,6
21774,b,1,e,4,e,6
15782,d,2,e,5,c,4
13836,c,1,a,6,a,8
7175,c,2,g,3,h,5
25275,d,2,a,6,c,5
8760,c,1,d,2,a,8
17433,b,1,g,1,b,4
2238,d,2,g,3,f,2
4201,d,2,d,7,h,1
3847,d,3,g,8,c,1
6815,b,2,d,4,g,1
23961,c,2,f,8,f,5
14264,c,2,b,1,b,4
3702,d,3,a,7,a,1
16397,d,3,f,2,f,6
2571,d,3,g,5,d,5
19565,d,1,c,3,h,6
24483,d,1,c,1,c,8
1338,c,2,f,5,e,6
26446,b,1,f,8,e,2
21014,a,1,b,7,c,1
22653,c,1,a,2,d,6
14989,c,3,d,8,h,4
20524,d,2,f,4,a,5
27134,c,1,f,4,d,5
14759,c,2,h,7,a,6
22509,b,2,g,2,e,2
22913,c,1,b,5,b,7
19668,d,1,d,8,f,4
22607,c,1,a,1,b,6
26482,b,1,g,2,d,5
4772,d,2,b,4,g,3
24882,d,1,f,8,b,6
1807,d,1,e,4,f,4
25950,a,1,h,4,h,6
22759,c,1,a,6,f,6
9946,d,3,f,3,b,3
6868,b,2,g,8,g,6
24377,d,1,b,2,g,8
15288,d,1,d,7,g,2
7729,d,3,d,6,h,5
13980,c,1,d,8,c,6
25555,a,1,a,7,h,6
13120,d,4,h,2,d,2
24714,d,1,e,3,e,4
20941,d,3,g,7,a,5
24299,d,1,a,8,b,4
14840,c,3,b,1,e,5
5116,d,4,f,4,b,1
10520,b,1,c,7,h,2
344,b,1,d,6,c,6
456,b,1,f,5,g,4
11642,c,3,h,8,h,2
27946,b,1,b,6,d,4
3494,d,1,d,5,a,1
18632,c,2,b,7,d,7
6902,c,1,b,1,f,1
11160,c,2,d,5,b,5
26957,c,1,c,6,c,5
15530,d,2,a,5,c,6
5815,d,2,a,7,a,2
11304,c,2,f,6,h,8
22489,b,2,f,8,e,2
16419,d,3,f,3,c,7
5186,a,1,g,2,g,1
23618,c,1,h,6,a,3
25160,d,1,h,5,f,6
13302,b,1,b,2,f,2
1704,d,1,b,7,c,8
10958,c,1,f,1,e,6
19240,c,3,a,8,e,4
26229,b,1,c,8,c,3
18927,c,2,f,4,h,7
10341,a,1,b,8,f,1
14454,c,2,e,2,d,4
14819,c,3,a,7,g,4
9403,d,1,h,5,h,4
12480,d,3,c,1,h,4
7748,d,3,e,1,b,2
4152,d,2,b,7,h,1
24526,d,1,c,3,d,8
17663,b,2,c,7,f,3
24688,d,1,e,1,a,3
1274,c,2,e,4,e,5
6287,d,4,b,4,g,1
720,b,2,h,1,g,2
22286,b,2,b,7,a,5
24284,d,1,a,7,b,7
15645,d,2,c,7,h,7
13225,a,1,e,7,c,1
26529,b,1,g,6,f,5
6210,d,3,g,8,c,1
19175,c,2,h,6,b,6
5005,d,3,g,5,f,4
22521,b,2,g,4,f,6
18387,c,2,a,1,e,3
22086,b,1,h,3,g,7
25443,d,2,f,8,f,5
5195,b,1,a,3,a,2
20535,d,2,f,5,d,6
2273,d,2,g,7,g,6
6027,d,3,c,1,f,1
3699,d,3,a,6,b,1
26244,b,1,c,8,f,8
9642,d,2,f,7,e,5
9668,d,2,g,6,a,3
1329,c,2,f,4,e,4
19530,d,1,b,3,h,4
23882,c,2,d,8,d,5
15798,d,2,e,6,f,3
6289,d,4,b,4,g,1
15984,d,2,h,8,d,8
17872,c,1,a,5,c,4
3448,c,2,d,2,g,1
21609,b,1,c,4,f,4
1571,c,3,g,5,a,4
16759,a,1,a,5,c,2
17255,b,1,e,3,b,6
20359,d,2,c,8,g,8
12163,d,2,e,5,b,7
3165,c,3,d,3,c,1
9317,d,1,c,2,a,8
20024,d,2,a,4,a,7
6422,d,4,e,8,c,1
23340,c,1,g,1,d,7
2074,d,2,c,4,c,5
26982,c,1,c,7,g,7
25613,a,1,b,5,d,2
26830,b,2,h,7,f,6
23072,c,1,d,2,g,6
10814,c,1,a,3,f,6
4256,d,3,a,5,h,2
8735,c,1,c,3,a,5
12813,d,3,h,2,f,3
15324,d,1,e,2,c,3
24726,d,1,e,5,b,5
3658,d,2,g,5,a,1
257,b,1,b,7,a,8
2202,d,2,f,5,g,5
24144,d,1,a,1,g,5
15336,d,1,e,3,a,6
11125,c,2,c,3,h,3
17460,b,1,g,6,a,7
22201,b,2,a,2,a,5
22095,b,1,h,4,b,6
8288,d,4,h,3,h,7
17122,b,1,d,2,h,8
20966,a,1,a,5,g,5
18937,c,2,f,5,d,6
11574,c,3,f,6,g,4
23316,c,1,f,5,e,8
5927,d,2,h,5,g,1
4660,c,2,f,4,a,1
6300,d,4,b,6,c,1
22860,c,1,b,2,f,8
5584,c,3,a,4,h,3
27799,a,1,f,3,e,5
25027,d,1,g,8,d,6
484,b,1,g,1,h,2
12279,d,2,h,3,c,8
359,b,1,d,8,a,7
3733,d,3,c,3,h,1
22504,b,2,g,1,g,4
6720,b,1,f,3,h,1
23848,c,2,d,2,e,2
11541,c,3,e,8,a,3
16084,d,3,a,8,g,5
4810,d,2,f,7,g,1
23820,c,2,c,7,d,7
7397,d,1,c,5,a,1
20576,d,2,g,1,f,4
2527,d,3,f,6,a,7
24149,d,1,a,1,h,6
15409,d,1,f,7,f,3
5706,d,1,a,8,h,2
25035,d,1,g,8,f,3
11505,c,3,e,3,f,3
26266,b,1,d,2,e,4
10598,b,1,f,4,d,1
2450,d,3,d,7,c,7
10408,a,1,g,5,h,8
24764,d,1,e,8,g,4
17123,b,1,d,3,b,8
26667,b,1,h,7,h,4
27843,a,1,g,3,h,3
14979,c,3,d,6,h,6
9161,c,3,c,5,g,4
21346,b,1,a,3,g,4
4834,d,2,g,6,h,4
3612,d,2,e,2,a,2
17855,c,1,a,3,a,4
6120,d,3,d,6,f,2
27854,a,1,g,4,f,5
836,c,1,c,4,b,5
17636,b,2,c,2,h,3
3566,d,2,a,3,f,2
16876,a,1,f,2,f,6
11946,d,2,a,6,h,7
19860,d,1,g,5,c,6
19517,d,1,a,8,h,6
15130,d,1,a,2,h,3
5504,c,2,c,7,e,1
22371,b,2,d,2,a,6
766,c,1,a,5,c,4
7841,d,3,f,8,g,6
803,c,1,b,5,b,6
10134,d,4,c,5,c,2
12299,d,2,h,6,d,7
334,b,1,d,4,g,5
20427,d,2,e,3,c,5
25701,a,1,d,1,f,4
2678,d,4,e,6,h,5
20138,d,2,b,2,d,4
17880,c,1,a,5,f,6
23957,c,2,f,8,c,6
17550,b,2,a,1,b,3
3689,d,3,a,3,d,1
1676,d,1,b,4,b,3
2549,d,3,g,2,a,1
1061,c,1,g,5,g,4
3369,d,3,b,2,e,1
16334,d,3,d,2,h,4
19030,c,2,g,5,b,4
16505,d,3,g,2,a,5
17731,b,2,e,2,b,4
15236,d,1,d,2,c,4
41,a,1,e,1,d,2
21463,b,1,a,8,g,5
8874,c,2,b,6,g,2
7850,d,3,g,4,a,4
1966,d,1,h,4,h,5
27850,a,1,g,3,h,5
18294,c,1,g,8,b,3
3213,d,3,b,8,a,1
19163,c,2,h,5,e,4
4026,d,1,c,3,f,1
18637,c,2,b,7,a,4
1698,d,1,b,7,a,7
10755,b,2,e,5,g,7
22051,b,1,h,1,d,8
24864,d,1,f,5,e,2
3254,d,1,f,3,b,1
2923,c,1,f,3,a,1
15415,d,1,g,2,h,3
8703,c,1,a,4,e,3
4568,c,1,c,3,g,2
23767,c,2,b,8,f,4
19647,d,1,d,6,h,3
741,b,2,h,5,b,6
24450,d,1,b,7,f,3
16543,d,3,g,4,e,6
2053,d,2,b,6,b,5
4936,d,3,e,5,e,1
13198,a,1,c,5,f,2
21314,b,1,a,1,g,4
19807,d,1,f,2,a,6
26220,b,1,c,7,f,6
15026,c,3,e,7,f,5
2545,d,3,g,1,h,2
12422,d,3,b,3,g,8
15573,d,2,b,1,g,3
6136,d,3,d,8,b,1
101,a,1,f,4,g,4
15431,d,1,g,6,a,7
9410,d,1,h,7,f,1
133,a,1,g,3,h,4
6384,d,4,e,4,d,1
12506,d,3,c,4,a,5
21913,b,1,f,5,c,8
222,b,1,a,7,b,8
