,A1,A2,A3,A4,A5,A6,A7,A8,A9
4845,43.0,-4.0,,0.0,44.0,8.0,46.0,45.0,0.0
15633,37.0,0.0,81.0,,28.0,-11.0,45.0,53.0,8.0
48859,46.0,-1.0,78.0,-3.0,46.0,-20.0,32.0,32.0,0.0
52024,56.0,0.0,92.0,0.0,50.0,,36.0,43.0,6.0
48616,82.0,0.0,87.0,2.0,-42.0,-30.0,5.0,131.0,126.0
15711,41.0,1.0,76.0,0.0,38.0,-2.0,,37.0,2.0
22256,37.0,0.0,76.0,0.0,24.0,21.0,40.0,53.0,14.0
19145,55.0,-2.0,81.0,0.0,-20.0,0.0,26.0,102.0,76.0
20211,55.0,0.0,79.0,,,0.0,23.0,58.0,34.0
49051,37.0,0.0,82.0,8.0,-2.0,,45.0,85.0,40.0
50611,51.0,0.0,77.0,0.0,50.0,-28.0,26.0,28.0,
17403,55.0,-1.0,77.0,0.0,34.0,0.0,22.0,44.0,22.0
8746,55.0,0.0,92.0,0.0,-4.0,0.0,,97.0,60.0
36414,81.0,0.0,86.0,0.0,-24.0,-7.0,4.0,112.0,108.0
17823,53.0,5.0,81.0,0.0,54.0,31.0,28.0,26.0,0.0
51406,41.0,0.0,86.0,0.0,38.0,-10.0,46.0,48.0,2.0
55921,48.0,4.0,83.0,5.0,46.0,0.0,35.0,,2.0
35266,38.0,1.0,76.0,0.0,38.0,12.0,38.0,37.0,0.0
1796,37.0,,75.0,0.0,28.0,-6.0,38.0,46.0,8.0
21073,56.0,0.0,92.0,0.0,56.0,3.0,35.0,35.0,0.0
49586,56.0,-1.0,97.0,0.0,42.0,0.0,41.0,55.0,14.0
6361,37.0,,82.0,0.0,36.0,10.0,45.0,46.0,0.0
11438,40.0,0.0,81.0,-7.0,38.0,0.0,41.0,42.0,2.0
51024,53.0,,86.0,0.0,52.0,-27.0,33.0,35.0,2.0
46608,37.0,0.0,78.0,-2.0,12.0,14.0,42.0,65.0,24.0
43709,,-1.0,76.0,1.0,42.0,0.0,,35.0,0.0
36569,37.0,0.0,76.0,-3.0,28.0,-2.0,39.0,47.0,8.0
19138,56.0,0.0,76.0,0.0,-4.0,24.0,20.0,81.0,62.0
50773,,0.0,86.0,0.0,38.0,-16.0,46.0,48.0,2.0
3612,55.0,0.0,96.0,2.0,44.0,0.0,41.0,52.0,12.0
29216,48.0,-3.0,100.0,0.0,46.0,-1.0,52.0,54.0,2.0
816,47.0,0.0,76.0,1.0,46.0,0.0,28.0,29.0,0.0
49046,55.0,0.0,78.0,0.0,2.0,9.0,23.0,75.0,52.0
45354,53.0,3.0,81.0,0.0,54.0,17.0,28.0,27.0,0.0
43145,37.0,0.0,80.0,0.0,16.0,-19.0,43.0,65.0,22.0
13927,38.0,1.0,77.0,0.0,38.0,13.0,39.0,38.0,0.0
39533,40.0,-5.0,79.0,0.0,38.0,0.0,39.0,41.0,
6224,37.0,0.0,83.0,0.0,-2.0,21.0,47.0,,40.0
56362,38.0,0.0,97.0,0.0,38.0,3.0,59.0,,0.0
23699,44.0,-1.0,76.0,0.0,42.0,-27.0,32.0,34.0,2.0
13845,48.0,0.0,,0.0,46.0,-4.0,38.0,40.0,2.0
43092,37.0,0.0,,8.0,-2.0,0.0,46.0,85.0,40.0
48362,56.0,0.0,96.0,6.0,52.0,0.0,40.0,44.0,4.0
57730,37.0,0.0,84.0,0.0,30.0,15.0,47.0,53.0,6.0
32219,46.0,1.0,86.0,-2.0,46.0,0.0,40.0,40.0,0.0
4291,37.0,0.0,,-1.0,24.0,15.0,39.0,52.0,14.0
57532,81.0,-6.0,86.0,-1.0,-40.0,0.0,5.0,127.0,122.0
19548,37.0,-3.0,82.0,-5.0,34.0,0.0,45.0,48.0,4.0
57973,45.0,0.0,77.0,0.0,44.0,-6.0,32.0,34.0,2.0
6465,56.0,5.0,95.0,0.0,52.0,,40.0,44.0,4.0
51766,37.0,0.0,79.0,0.0,12.0,-8.0,43.0,66.0,24.0
38423,37.0,0.0,83.0,0.0,34.0,5.0,46.0,50.0,4.0
24551,38.0,3.0,76.0,0.0,36.0,,38.0,39.0,2.0
30612,,0.0,80.0,0.0,16.0,-7.0,43.0,65.0,22.0
31776,38.0,0.0,97.0,0.0,38.0,4.0,59.0,59.0,0.0
28171,37.0,0.0,77.0,0.0,,21.0,41.0,,0.0
44828,55.0,0.0,96.0,0.0,42.0,-13.0,41.0,55.0,14.0
30488,43.0,0.0,86.0,-1.0,42.0,-3.0,43.0,45.0,2.0
6079,,4.0,84.0,0.0,54.0,-13.0,29.0,30.0,2.0
12957,37.0,0.0,76.0,11.0,20.0,-2.0,40.0,55.0,16.0
30903,43.0,0.0,86.0,0.0,42.0,0.0,43.0,44.0,2.0
53226,45.0,5.0,86.0,,44.0,0.0,,42.0,2.0
47420,58.0,5.0,81.0,0.0,56.0,,23.0,24.0,2.0
25624,53.0,0.0,83.0,0.0,54.0,0.0,30.0,29.0,
11570,105.0,0.0,106.0,-2.0,70.0,,1.0,36.0,36.0
18159,49.0,5.0,90.0,5.0,46.0,-2.0,42.0,44.0,2.0
16180,52.0,4.0,82.0,8.0,52.0,0.0,30.0,30.0,0.0
46424,55.0,0.0,82.0,0.0,-38.0,3.0,26.0,121.0,94.0
22701,52.0,-3.0,88.0,0.0,52.0,-6.0,36.0,37.0,0.0
53652,56.0,0.0,95.0,0.0,54.0,-7.0,40.0,,2.0
50146,55.0,0.0,77.0,0.0,-10.0,-10.0,21.0,87.0,66.0
35975,56.0,0.0,96.0,0.0,42.0,9.0,40.0,55.0,14.0
54387,102.0,0.0,103.0,6.0,72.0,28.0,1.0,31.0,30.0
2906,56.0,3.0,95.0,0.0,42.0,-8.0,,,14.0
32142,37.0,0.0,76.0,0.0,34.0,-6.0,,42.0,4.0
47629,41.0,-5.0,97.0,0.0,42.0,18.0,57.0,56.0,0.0
21420,44.0,1.0,86.0,0.0,42.0,-23.0,42.0,44.0,2.0
46789,49.0,-3.0,84.0,1.0,50.0,0.0,35.0,35.0,0.0
44355,37.0,0.0,97.0,0.0,18.0,-26.0,60.0,79.0,18.0
49858,105.0,0.0,106.0,0.0,,0.0,2.0,36.0,34.0
31247,55.0,3.0,91.0,0.0,54.0,0.0,35.0,37.0,2.0
43455,44.0,0.0,86.0,-6.0,,20.0,42.0,42.0,0.0
57537,,0.0,88.0,0.0,46.0,14.0,43.0,42.0,0.0
11220,55.0,-2.0,98.0,0.0,44.0,-5.0,42.0,54.0,
43980,43.0,0.0,79.0,,42.0,0.0,35.0,37.0,2.0
22096,55.0,0.0,77.0,0.0,28.0,-3.0,21.0,48.0,28.0
30100,44.0,0.0,82.0,0.0,44.0,9.0,38.0,38.0,0.0
33198,37.0,0.0,101.0,0.0,28.0,-6.0,64.0,73.0,8.0
26115,44.0,0.0,79.0,6.0,44.0,0.0,,35.0,0.0
11904,37.0,0.0,92.0,-1.0,12.0,0.0,54.0,79.0,24.0
13774,41.0,0.0,81.0,-1.0,38.0,-12.0,40.0,42.0,2.0
8807,42.0,-2.0,85.0,0.0,,0.0,,44.0,2.0
45748,56.0,0.0,107.0,0.0,54.0,-18.0,51.0,53.0,2.0
54910,43.0,-1.0,82.0,0.0,42.0,-6.0,39.0,41.0,2.0
12214,44.0,4.0,95.0,0.0,44.0,18.0,52.0,51.0,0.0
50353,37.0,0.0,76.0,,18.0,-22.0,40.0,58.0,18.0
41927,58.0,1.0,84.0,-4.0,,0.0,27.0,28.0,0.0
27325,37.0,0.0,81.0,0.0,28.0,-19.0,45.0,53.0,8.0
24534,39.0,-3.0,75.0,0.0,38.0,0.0,35.0,,0.0
15054,44.0,0.0,86.0,3.0,44.0,0.0,42.0,42.0,0.0
39521,66.0,0.0,109.0,0.0,64.0,-30.0,43.0,45.0,2.0
50268,37.0,0.0,106.0,0.0,36.0,17.0,68.0,69.0,2.0
10743,51.0,0.0,87.0,0.0,52.0,30.0,,35.0,0.0
791,105.0,0.0,106.0,-1.0,70.0,0.0,1.0,36.0,34.0
24947,49.0,1.0,87.0,8.0,50.0,0.0,38.0,38.0,0.0
12212,56.0,0.0,96.0,0.0,36.0,14.0,40.0,60.0,20.0
45359,43.0,5.0,81.0,0.0,42.0,0.0,38.0,40.0,
4988,37.0,0.0,77.0,0.0,24.0,-24.0,40.0,54.0,14.0
20148,56.0,,97.0,0.0,50.0,-26.0,41.0,48.0,6.0
57621,55.0,0.0,77.0,-2.0,,-4.0,21.0,61.0,40.0
22341,44.0,0.0,88.0,0.0,44.0,0.0,44.0,44.0,0.0
38597,55.0,0.0,77.0,-1.0,10.0,,22.0,67.0,46.0
22643,51.0,1.0,102.0,0.0,,2.0,51.0,50.0,0.0
39290,37.0,-1.0,77.0,0.0,38.0,17.0,39.0,38.0,0.0
20720,76.0,-1.0,81.0,0.0,-42.0,-2.0,5.0,125.0,120.0
57021,79.0,-40.0,107.0,0.0,62.0,-6.0,28.0,45.0,16.0
14597,51.0,2.0,86.0,0.0,52.0,8.0,35.0,34.0,0.0
45306,41.0,0.0,80.0,0.0,38.0,-4.0,39.0,,2.0
54630,37.0,0.0,79.0,3.0,2.0,,42.0,76.0,34.0
41825,48.0,0.0,,-4.0,46.0,0.0,29.0,31.0,2.0
13505,37.0,0.0,82.0,0.0,36.0,7.0,45.0,46.0,0.0
6807,37.0,-2.0,77.0,0.0,38.0,11.0,39.0,38.0,0.0
40304,37.0,0.0,77.0,3.0,38.0,21.0,39.0,38.0,0.0
14431,43.0,0.0,82.0,,44.0,37.0,39.0,38.0,0.0
21156,48.0,0.0,81.0,0.0,,-1.0,33.0,35.0,2.0
37017,37.0,-1.0,79.0,0.0,36.0,-19.0,41.0,43.0,2.0
8023,83.0,0.0,86.0,0.0,-6.0,-22.0,3.0,94.0,90.0
3434,41.0,1.0,76.0,0.0,42.0,31.0,35.0,34.0,0.0
37332,37.0,0.0,77.0,0.0,36.0,-8.0,40.0,41.0,2.0
19414,37.0,0.0,79.0,-2.0,36.0,0.0,42.0,43.0,0.0
1107,,0.0,94.0,,8.0,0.0,57.0,86.0,30.0
55212,45.0,0.0,,1.0,46.0,16.0,44.0,42.0,0.0
21930,38.0,0.0,107.0,0.0,38.0,13.0,69.0,68.0,0.0
6824,54.0,0.0,81.0,0.0,54.0,-1.0,27.0,27.0,0.0
15292,85.0,0.0,89.0,0.0,6.0,20.0,,84.0,80.0
54178,37.0,0.0,78.0,0.0,-2.0,9.0,41.0,81.0,40.0
8821,53.0,0.0,82.0,0.0,54.0,0.0,29.0,28.0,0.0
6179,43.0,0.0,88.0,0.0,44.0,19.0,45.0,44.0,0.0
16809,56.0,5.0,80.0,0.0,54.0,-30.0,24.0,26.0,2.0
21920,51.0,2.0,86.0,-7.0,50.0,-24.0,35.0,37.0,2.0
19458,37.0,0.0,77.0,0.0,20.0,-17.0,40.0,56.0,16.0
2146,50.0,3.0,84.0,0.0,50.0,0.0,33.0,35.0,2.0
19762,56.0,4.0,97.0,-4.0,46.0,-23.0,41.0,51.0,10.0
36012,44.0,1.0,83.0,-3.0,44.0,6.0,39.0,,0.0
11472,48.0,0.0,82.0,-3.0,50.0,31.0,34.0,33.0,0.0
47145,56.0,2.0,,5.0,52.0,0.0,40.0,45.0,
19387,37.0,0.0,80.0,0.0,12.0,5.0,43.0,67.0,24.0
20330,53.0,0.0,85.0,0.0,54.0,7.0,32.0,31.0,0.0
15286,37.0,0.0,105.0,4.0,20.0,-9.0,68.0,84.0,16.0
33934,37.0,0.0,82.0,0.0,38.0,24.0,45.0,,0.0
24416,37.0,0.0,76.0,0.0,,13.0,,50.0,10.0
56751,56.0,0.0,96.0,0.0,42.0,1.0,40.0,55.0,14.0
44090,55.0,0.0,97.0,0.0,52.0,14.0,41.0,45.0,4.0
10783,56.0,0.0,97.0,-3.0,46.0,-11.0,41.0,51.0,10.0
21908,,5.0,87.0,0.0,,2.0,31.0,30.0,0.0
33144,37.0,-1.0,82.0,-6.0,36.0,-8.0,45.0,46.0,2.0
24418,56.0,0.0,77.0,0.0,-22.0,1.0,21.0,100.0,80.0
52617,37.0,0.0,80.0,0.0,10.0,-7.0,43.0,70.0,
49381,56.0,0.0,96.0,-4.0,50.0,0.0,40.0,47.0,
19783,37.0,0.0,,-4.0,28.0,2.0,67.0,76.0,8.0
20632,43.0,0.0,87.0,1.0,42.0,-5.0,44.0,46.0,2.0
25928,55.0,0.0,77.0,0.0,16.0,-2.0,22.0,62.0,40.0
20509,37.0,0.0,97.0,,34.0,0.0,59.0,63.0,4.0
54689,37.0,0.0,79.0,0.0,36.0,0.0,43.0,43.0,0.0
5165,55.0,0.0,88.0,8.0,,0.0,32.0,33.0,
47786,37.0,0.0,80.0,-8.0,34.0,0.0,43.0,46.0,4.0
1675,86.0,5.0,89.0,0.0,2.0,-5.0,3.0,86.0,84.0
25096,45.0,2.0,93.0,-1.0,44.0,0.0,48.0,49.0,0.0
12189,55.0,-3.0,81.0,0.0,-2.0,0.0,25.0,83.0,58.0
27124,56.0,3.0,95.0,0.0,46.0,3.0,39.0,49.0,10.0
44824,42.0,0.0,87.0,-2.0,42.0,-4.0,45.0,46.0,0.0
4707,45.0,0.0,86.0,1.0,44.0,-3.0,41.0,42.0,
2585,55.0,0.0,77.0,0.0,20.0,-10.0,22.0,57.0,34.0
6835,37.0,2.0,79.0,,-2.0,,42.0,81.0,40.0
37110,43.0,0.0,,0.0,42.0,-23.0,42.0,44.0,2.0
49086,55.0,0.0,96.0,,54.0,0.0,41.0,42.0,2.0
39167,56.0,0.0,97.0,0.0,52.0,-6.0,41.0,45.0,
41759,55.0,0.0,78.0,-2.0,6.0,-6.0,23.0,73.0,50.0
16840,45.0,-4.0,,0.0,44.0,0.0,49.0,50.0,0.0
42716,52.0,-3.0,83.0,0.0,52.0,0.0,32.0,32.0,0.0
19174,37.0,0.0,76.0,0.0,20.0,-1.0,40.0,55.0,16.0
28316,49.0,0.0,,0.0,50.0,9.0,35.0,35.0,0.0
57784,56.0,0.0,97.0,0.0,52.0,,41.0,46.0,4.0
26229,76.0,-4.0,80.0,0.0,-40.0,0.0,4.0,121.0,116.0
27809,53.0,0.0,87.0,0.0,54.0,11.0,34.0,33.0,0.0
21640,45.0,,79.0,0.0,44.0,-12.0,33.0,35.0,2.0
26481,42.0,0.0,86.0,0.0,42.0,-1.0,44.0,45.0,2.0
27442,46.0,4.0,81.0,0.0,46.0,10.0,35.0,35.0,0.0
38329,102.0,0.0,103.0,0.0,72.0,30.0,1.0,31.0,30.0
51656,48.0,0.0,90.0,0.0,46.0,0.0,41.0,43.0,2.0
50821,49.0,-3.0,87.0,0.0,50.0,0.0,,38.0,0.0
36637,,-4.0,77.0,0.0,54.0,0.0,25.0,23.0,0.0
4277,50.0,0.0,84.0,-4.0,50.0,0.0,34.0,35.0,0.0
39625,47.0,0.0,81.0,2.0,46.0,0.0,34.0,35.0,0.0
5121,47.0,0.0,88.0,3.0,46.0,0.0,41.0,41.0,0.0
6017,56.0,0.0,97.0,0.0,52.0,30.0,41.0,45.0,4.0
49320,38.0,0.0,92.0,0.0,20.0,2.0,54.0,71.0,18.0
25661,47.0,3.0,77.0,0.0,46.0,0.0,30.0,31.0,0.0
1034,55.0,-5.0,77.0,,54.0,0.0,22.0,23.0,0.0
233,55.0,0.0,95.0,-2.0,50.0,0.0,40.0,,6.0
31234,37.0,0.0,83.0,0.0,2.0,-3.0,46.0,81.0,34.0
34611,43.0,0.0,78.0,0.0,42.0,-21.0,35.0,37.0,2.0
10823,42.0,3.0,81.0,2.0,42.0,,39.0,39.0,
18106,43.0,-2.0,79.0,0.0,42.0,,,37.0,2.0
22471,,-1.0,83.0,0.0,50.0,6.0,34.0,34.0,0.0
26310,51.0,,79.0,0.0,52.0,31.0,28.0,27.0,0.0
579,43.0,0.0,81.0,0.0,42.0,-4.0,38.0,40.0,2.0
49236,48.0,5.0,81.0,0.0,46.0,0.0,,34.0,2.0
26121,37.0,0.0,79.0,-4.0,0.0,0.0,42.0,79.0,36.0
35875,41.0,1.0,83.0,0.0,42.0,2.0,41.0,41.0,0.0
42658,44.0,0.0,77.0,0.0,,3.0,34.0,34.0,0.0
1331,55.0,1.0,79.0,0.0,54.0,-6.0,,,2.0
45473,41.0,0.0,84.0,0.0,38.0,-13.0,,46.0,2.0
25674,37.0,-1.0,80.0,-3.0,,-6.0,43.0,,
31140,49.0,-2.0,86.0,0.0,50.0,,38.0,37.0,0.0
4293,37.0,0.0,76.0,0.0,16.0,18.0,39.0,61.0,22.0
52019,37.0,0.0,76.0,-1.0,28.0,,39.0,47.0,8.0
41596,51.0,0.0,83.0,-6.0,50.0,-14.0,32.0,34.0,2.0
35054,55.0,0.0,97.0,0.0,46.0,-26.0,42.0,51.0,8.0
50260,37.0,0.0,,0.0,28.0,-16.0,,48.0,
36485,56.0,0.0,77.0,0.0,,-15.0,22.0,62.0,40.0
630,54.0,0.0,88.0,-2.0,54.0,0.0,34.0,33.0,0.0
19967,58.0,1.0,86.0,0.0,56.0,0.0,29.0,30.0,0.0
5042,44.0,3.0,76.0,-1.0,44.0,1.0,32.0,32.0,0.0
17005,56.0,0.0,77.0,0.0,16.0,-28.0,22.0,62.0,40.0
28438,53.0,4.0,84.0,0.0,52.0,,31.0,32.0,2.0
13977,42.0,0.0,77.0,-1.0,42.0,-2.0,36.0,36.0,0.0
44718,45.0,-1.0,86.0,-6.0,46.0,22.0,40.0,39.0,0.0
41396,47.0,2.0,87.0,7.0,46.0,0.0,40.0,41.0,0.0
23025,56.0,,81.0,0.0,,-10.0,25.0,88.0,64.0
9378,47.0,5.0,,0.0,46.0,0.0,36.0,37.0,0.0
49787,37.0,0.0,78.0,0.0,36.0,-13.0,41.0,42.0,2.0
37490,55.0,0.0,77.0,0.0,20.0,-3.0,22.0,57.0,34.0
6367,45.0,0.0,86.0,-7.0,46.0,12.0,41.0,40.0,0.0
43302,42.0,3.0,81.0,0.0,42.0,0.0,39.0,39.0,0.0
51883,,0.0,88.0,1.0,44.0,-20.0,43.0,44.0,2.0
23734,37.0,0.0,102.0,0.0,,3.0,65.0,66.0,2.0
32986,49.0,1.0,83.0,0.0,46.0,-12.0,34.0,37.0,
8410,37.0,0.0,100.0,0.0,,6.0,64.0,69.0,6.0
7003,37.0,,106.0,-8.0,28.0,-3.0,69.0,77.0,8.0
54153,51.0,5.0,83.0,,50.0,-20.0,,33.0,2.0
24522,56.0,0.0,96.0,2.0,38.0,-15.0,40.0,57.0,18.0
5172,40.0,-2.0,88.0,0.0,38.0,0.0,48.0,49.0,2.0
29712,81.0,0.0,84.0,2.0,-14.0,0.0,4.0,100.0,96.0
23881,37.0,-1.0,77.0,0.0,-2.0,-15.0,40.0,79.0,40.0
15302,,1.0,83.0,0.0,42.0,0.0,41.0,42.0,0.0
20944,44.0,,86.0,-1.0,44.0,6.0,42.0,42.0,0.0
44621,52.0,0.0,83.0,-1.0,52.0,0.0,31.0,32.0,0.0
15697,37.0,-16.0,106.0,0.0,30.0,0.0,69.0,75.0,6.0
49299,38.0,0.0,92.0,0.0,18.0,25.0,54.0,74.0,20.0
17664,41.0,0.0,97.0,,42.0,6.0,55.0,55.0,0.0
5382,105.0,-3.0,106.0,0.0,70.0,0.0,1.0,36.0,36.0
10822,42.0,,86.0,-2.0,42.0,0.0,43.0,44.0,2.0
41267,37.0,0.0,78.0,0.0,34.0,-1.0,41.0,45.0,4.0
26434,53.0,0.0,88.0,2.0,54.0,27.0,35.0,33.0,0.0
43769,41.0,1.0,84.0,0.0,38.0,-30.0,43.0,45.0,2.0
36190,47.0,-5.0,100.0,0.0,,0.0,54.0,54.0,0.0
54169,104.0,-3.0,105.0,-2.0,70.0,-30.0,,35.0,34.0
5545,37.0,0.0,,-1.0,24.0,-2.0,38.0,52.0,14.0
2635,,0.0,80.0,0.0,36.0,5.0,43.0,44.0,0.0
44634,37.0,0.0,83.0,0.0,34.0,8.0,46.0,49.0,4.0
32756,50.0,0.0,78.0,0.0,50.0,0.0,28.0,29.0,0.0
46726,37.0,0.0,80.0,3.0,8.0,6.0,43.0,72.0,28.0
13717,37.0,0.0,78.0,0.0,12.0,-6.0,41.0,65.0,24.0
37698,46.0,0.0,93.0,,44.0,-30.0,48.0,,2.0
32944,37.0,,80.0,0.0,6.0,-12.0,43.0,75.0,32.0
35149,105.0,,107.0,3.0,72.0,2.0,1.0,35.0,34.0
16176,37.0,0.0,78.0,0.0,,10.0,42.0,60.0,18.0
33335,46.0,-1.0,86.0,0.0,46.0,0.0,40.0,39.0,0.0
17712,45.0,-3.0,85.0,0.0,44.0,-20.0,40.0,41.0,2.0
28068,37.0,0.0,76.0,-4.0,34.0,7.0,39.0,42.0,2.0
4222,41.0,0.0,80.0,0.0,42.0,6.0,39.0,39.0,0.0
38983,45.0,-2.0,,,46.0,15.0,42.0,,0.0
40423,55.0,0.0,77.0,0.0,30.0,-29.0,22.0,46.0,24.0
5170,38.0,2.0,75.0,0.0,36.0,-6.0,37.0,,2.0
7525,38.0,0.0,75.0,0.0,38.0,14.0,37.0,36.0,0.0
46162,44.0,0.0,75.0,-2.0,42.0,-23.0,31.0,34.0,2.0
9253,40.0,-2.0,86.0,0.0,38.0,0.0,45.0,47.0,2.0
14865,37.0,0.0,76.0,0.0,36.0,15.0,39.0,39.0,0.0
56765,,3.0,98.0,0.0,46.0,28.0,42.0,51.0,10.0
11893,39.0,3.0,83.0,0.0,38.0,0.0,44.0,44.0,0.0
30904,36.0,-4.0,79.0,0.0,36.0,0.0,43.0,,0.0
54321,38.0,0.0,76.0,8.0,38.0,0.0,38.0,37.0,0.0
23293,50.0,,88.0,0.0,,0.0,38.0,39.0,0.0
30432,50.0,-1.0,86.0,0.0,50.0,,36.0,37.0,2.0
45204,41.0,,81.0,0.0,42.0,13.0,39.0,39.0,0.0
23676,51.0,-2.0,86.0,0.0,50.0,-15.0,36.0,37.0,2.0
15811,41.0,0.0,84.0,0.0,42.0,14.0,43.0,43.0,0.0
26334,43.0,0.0,86.0,0.0,42.0,-1.0,43.0,45.0,2.0
32853,55.0,0.0,77.0,0.0,-4.0,38.0,21.0,82.0,60.0
44696,49.0,0.0,83.0,0.0,46.0,-30.0,33.0,36.0,2.0
12285,50.0,3.0,87.0,-3.0,50.0,0.0,,38.0,2.0
1396,56.0,2.0,81.0,1.0,-4.0,0.0,25.0,86.0,62.0
32996,45.0,0.0,90.0,0.0,44.0,-1.0,45.0,46.0,2.0
8402,45.0,0.0,86.0,0.0,44.0,-13.0,,42.0,2.0
20916,47.0,1.0,77.0,0.0,46.0,0.0,30.0,31.0,0.0
8869,37.0,1.0,93.0,0.0,10.0,,56.0,83.0,28.0
34125,47.0,-2.0,85.0,0.0,46.0,0.0,38.0,39.0,0.0
37238,37.0,0.0,106.0,0.0,26.0,0.0,69.0,80.0,12.0
