,V1,V2,V3,V4
5196,0.833,0.446,1.491,
2407,,0.648,1.309,1.0
3669,1.041,0.739,1.776,0.972
4873,,0.77,2.79,0.903
650,0.805,0.393,1.421,
4374,2.491,0.503,1.794,1.217
708,,0.614,1.613,0.833
4926,1.292,0.601,2.128,0.634
4820,0.592,0.779,2.372,5.0
2004,0.82,0.487,3.197,1.168
2186,2.638,0.683,2.146,0.948
1424,0.851,,1.473,0.774
1216,0.828,0.913,2.012,
2284,1.665,0.451,1.745,1.099
4345,,0.604,1.666,0.879
314,0.817,0.775,2.12,5.0
2384,0.786,0.754,1.598,0.69
1427,0.806,0.781,1.44,0.804
1650,1.757,0.403,1.906,1.415
4885,1.799,0.368,2.375,0.867
113,0.79,0.674,1.353,0.733
960,0.894,0.544,,5.0
3455,0.878,0.475,1.395,0.447
3340,0.774,0.743,1.514,0.78
1114,1.549,,1.845,0.897
3947,0.769,0.792,2.753,
5455,0.854,0.628,1.016,
3680,0.934,,,1.186
4828,1.036,0.774,2.911,1.551
5041,1.332,0.538,1.753,0.608
4060,0.779,0.473,,1.074
4943,1.988,0.533,2.136,0.877
3114,0.783,0.768,2.783,
2273,,0.456,1.96,1.068
4874,0.787,0.768,,0.9
2683,1.172,,1.271,2.433
326,0.79,,2.789,5.0
604,,0.455,3.252,1.384
4826,1.039,0.773,2.914,1.461
3588,1.254,1.324,1.423,
2167,1.817,,2.18,0.827
3844,1.421,0.486,1.79,0.578
4727,0.853,0.486,1.766,1.361
5082,0.796,0.725,,0.795
1718,1.195,2.202,1.488,2.228
1288,0.95,0.518,1.903,
3459,0.899,0.457,1.39,
5132,1.241,0.65,1.304,1.018
3835,1.086,0.48,,1.149
5438,1.249,0.745,1.285,0.817
3950,0.769,0.79,2.756,0.985
1978,0.971,0.53,1.71,1.239
2209,1.235,0.586,2.822,0.682
4059,0.767,0.474,1.781,
789,1.463,0.715,,2.077
2694,,,1.17,3.54
1730,1.045,0.786,1.387,3.383
3828,1.1,0.479,1.767,1.135
321,0.792,0.766,2.787,1.277
871,0.776,0.767,1.37,0.774
169,1.058,0.57,3.133,1.15
4853,,0.786,2.782,1.273
2418,1.031,0.574,1.094,1.208
1822,1.104,0.664,1.79,1.012
3745,0.917,0.734,1.383,0.533
4963,,0.485,1.806,
73,1.239,,2.777,0.787
420,1.955,0.545,,0.904
3807,0.879,0.501,1.725,
5282,2.253,0.51,1.817,1.452
3580,1.347,0.761,1.534,2.19
92,0.898,0.638,2.524,1.137
4990,1.733,0.483,2.023,1.073
3914,1.056,0.757,2.929,
4315,3.302,0.799,1.46,0.408
4157,,0.758,1.502,0.841
3424,0.89,0.493,2.582,1.356
2227,1.898,0.503,1.93,0.929
2218,1.075,0.545,2.778,0.808
494,1.259,0.526,1.758,0.964
1375,1.473,0.443,1.858,1.274
3721,0.773,,2.866,0.605
2598,1.769,1.415,1.974,1.91
1741,0.882,0.78,1.33,2.547
1164,0.846,0.757,1.931,1.565
4094,1.603,0.463,1.861,
1270,2.277,0.641,1.628,1.27
3460,0.877,0.545,,0.432
5365,0.835,3.652,1.246,2.587
2584,1.995,0.613,1.913,1.69
2201,1.96,0.621,2.791,1.098
618,0.823,0.447,2.641,1.381
4680,0.853,0.651,1.473,0.793
2550,2.531,0.574,1.708,
124,0.786,,1.34,0.659
1745,0.803,0.789,1.316,2.623
4559,0.955,0.667,1.788,1.028
2432,0.864,0.502,,1.374
5445,1.133,0.699,,1.576
5046,1.244,0.568,1.718,0.638
1694,1.787,1.386,1.858,1.895
5108,1.564,0.776,1.637,0.693
4055,0.765,0.477,1.777,1.085
869,0.766,0.782,1.355,0.776
4387,2.258,0.439,1.876,
1042,,0.656,,0.909
1876,0.803,,2.45,5.0
3520,2.434,0.551,1.743,1.264
356,1.817,0.363,2.239,0.832
1162,,0.743,1.925,1.676
3770,1.439,0.657,1.462,0.735
4462,1.21,1.312,,2.301
5271,2.473,0.53,1.76,1.238
1744,0.823,0.789,,2.603
2344,0.917,0.655,1.604,1.314
5052,1.132,0.608,1.674,0.676
2615,1.627,1.412,1.668,2.038
579,1.223,0.604,3.093,0.991
4217,1.229,0.638,,1.023
5387,0.823,,1.28,2.604
1743,0.843,0.785,,2.582
1726,1.104,2.263,1.416,3.327
5165,0.842,0.501,2.611,1.411
4237,0.591,0.49,0.918,1.39
332,0.787,0.759,2.194,5.0
2005,,0.485,1.773,1.167
3247,1.542,0.491,1.865,1.051
4266,0.845,0.437,2.65,1.414
1258,2.482,0.72,1.974,1.106
4255,0.842,0.455,3.245,1.408
1451,0.798,0.816,1.465,0.768
2304,1.282,0.464,1.828,1.287
1116,1.534,,1.472,
1541,0.851,,1.444,
5245,2.909,0.667,1.611,0.801
4165,0.783,0.76,1.502,0.789
2985,0.836,0.483,,1.377
4032,2.024,0.541,,0.849
3879,0.907,0.655,2.094,1.666
2977,0.876,0.491,3.193,
4159,0.791,0.758,1.502,0.843
445,1.494,,1.766,1.093
4395,2.179,,1.906,
3090,0.998,0.768,2.89,1.559
2707,,1.039,1.114,2.324
1413,1.031,0.634,,0.656
452,1.694,0.484,1.765,1.1
4830,1.033,0.776,2.378,1.554
2099,0.549,0.735,2.929,5.0
5432,,0.781,1.369,
2765,,0.84,1.233,0.905
4110,1.444,0.488,1.807,1.327
14,,0.483,2.306,0.476
5216,3.301,0.47,1.443,0.413
945,0.897,0.572,1.732,1.213
5207,0.867,0.452,1.439,0.435
3590,1.234,2.293,1.405,2.364
247,1.287,0.551,1.507,0.955
3827,1.101,0.48,1.77,1.135
360,1.813,0.357,2.641,
5126,1.355,0.689,2.226,0.901
5078,0.795,0.727,1.538,0.818
3725,,0.551,2.863,0.588
4412,2.085,3.097,1.93,
4174,,0.757,,0.773
1770,0.776,0.776,1.332,3.623
3767,,0.668,1.452,0.7
2591,1.894,,1.947,1.785
1592,,0.708,1.513,0.609
1867,,0.53,,5.0
4275,0.841,0.415,2.671,0.47
2378,0.799,0.773,,0.69
5327,1.346,1.748,,2.708
1820,,0.673,1.56,
3822,0.832,0.485,1.949,1.397
490,1.322,0.509,,0.904
4075,1.723,0.468,2.595,1.067
862,,0.863,1.329,0.808
1006,,,1.302,0.598
3481,3.163,,1.453,0.54
1383,1.391,0.46,1.829,0.816
3123,0.779,0.766,2.787,0.898
3405,0.655,0.52,0.966,1.345
2902,0.881,0.675,,0.768
3017,,0.492,1.796,0.579
1362,1.604,0.421,1.903,1.147
3804,0.93,0.508,,1.274
506,1.037,0.597,1.646,1.737
1417,0.962,0.669,1.566,0.725
3570,1.569,1.369,1.663,2.055
25,1.638,0.475,1.712,
4444,,0.686,1.676,2.047
4373,2.51,0.512,,1.197
1222,0.821,0.888,2.645,1.313
2372,0.777,1.129,1.559,0.704
1113,1.558,0.455,1.84,1.006
4179,0.783,0.763,1.546,0.745
1552,5.0,0.506,1.391,0.464
4767,,0.487,,0.574
4745,1.54,0.465,1.774,
1870,0.808,,1.716,1.307
5097,0.784,0.736,1.571,
3986,1.673,0.382,2.706,0.932
433,0.777,0.497,1.854,1.093
2447,0.869,0.49,0.936,1.37
3751,0.856,0.703,1.413,0.606
3010,1.46,0.48,,0.569
3361,1.544,,1.586,0.706
4768,1.404,0.489,1.581,0.576
5236,3.077,0.714,1.543,0.632
2897,0.881,0.708,1.403,0.673
3761,1.523,,1.437,0.657
2526,2.956,0.709,1.541,0.735
3724,0.767,0.551,2.871,0.593
4740,0.851,0.471,1.939,
1102,1.195,0.448,1.776,0.979
2016,1.466,0.486,,1.165
4615,0.82,0.528,2.45,5.0
2534,2.81,,1.598,0.88
4335,2.94,0.648,,0.764
156,0.891,,1.464,0.915
3539,2.098,0.492,1.889,1.596
194,0.74,0.484,3.206,1.343
615,0.508,,3.246,1.385
643,0.821,0.397,1.484,0.444
2245,0.768,0.468,1.784,1.088
2867,0.793,0.61,,
1068,0.907,0.495,3.195,1.294
2034,1.318,0.518,,1.348
5180,0.845,0.481,2.615,1.418
3927,0.993,0.782,2.89,5.0
3611,0.899,0.916,1.245,2.515
4623,0.817,,2.969,0.572
1879,0.802,0.492,2.459,4.752
330,0.789,,2.189,1.141
4162,0.785,0.759,,0.825
3132,0.78,0.747,2.805,0.875
2602,1.701,1.408,1.781,1.979
622,0.823,0.438,3.249,1.379
3130,0.777,0.747,2.151,0.879
1670,2.105,0.426,1.982,1.576
4370,2.569,0.529,1.765,1.139
4065,1.725,0.468,2.028,1.066
5228,0.979,,,0.486
2339,,0.61,1.654,0.675
3386,1.265,0.644,1.324,0.987
1893,0.82,0.631,1.332,0.488
3213,2.164,0.579,,0.738
3979,,0.743,2.665,0.901
755,1.84,0.458,1.919,1.616
518,0.809,0.678,1.534,0.743
4411,2.096,3.091,1.927,1.605
32,1.633,0.475,1.707,0.469
4857,0.791,0.791,2.776,1.188
4302,0.856,0.432,1.443,
2921,1.306,0.65,1.491,0.882
3000,,0.472,1.758,1.116
1157,1.434,0.715,1.852,1.537
3503,2.752,0.663,1.617,0.951
2835,0.808,0.581,1.651,5.0
744,2.194,0.461,1.868,1.495
5025,,,1.826,0.579
1941,1.455,0.664,1.451,0.72
5318,,,1.507,
1705,,,1.66,2.036
2960,0.761,0.505,1.691,1.217
4657,1.596,0.745,1.378,0.594
4746,1.132,0.464,1.775,1.095
3630,0.812,0.884,1.231,2.652
103,0.796,0.665,2.495,1.239
3071,1.031,0.72,2.953,1.134
2118,0.948,0.741,2.876,0.858
783,1.628,1.405,1.744,
2244,0.778,0.47,1.792,1.052
2972,0.943,0.498,3.181,
229,1.487,0.478,1.53,0.971
857,0.771,,1.318,
1211,0.827,0.916,2.26,
1401,1.225,,1.771,0.598
4180,0.826,0.795,1.539,0.743
408,2.191,0.589,2.828,0.718
170,1.043,0.564,2.369,1.166
540,0.758,0.679,1.549,0.694
1934,1.465,0.667,1.444,0.711
5031,1.471,0.498,1.807,1.308
4168,0.781,0.755,,0.785
1803,1.379,0.741,1.441,0.732
3043,1.005,0.637,2.109,
613,0.508,0.45,2.64,1.386
3831,1.095,0.479,1.771,1.137
3842,1.438,0.484,1.786,1.13
4086,1.672,,1.76,1.109
1161,0.897,0.736,1.858,1.555
2440,,0.495,3.195,1.371
2803,0.808,0.635,0.871,
4711,0.815,0.531,1.767,1.195
1815,1.238,0.707,1.869,0.879
4572,0.824,0.585,1.675,1.293
1700,1.605,0.621,1.894,
1860,0.81,0.528,1.703,1.298
3100,0.956,0.766,2.871,1.585
1609,2.786,0.611,1.661,0.903
2943,1.134,0.575,1.602,
2487,0.876,0.455,1.404,0.433
2611,,1.411,1.676,2.033
564,1.497,0.707,1.554,0.715
4609,0.823,0.547,1.363,5.0
4176,0.773,0.764,1.521,
4678,,0.649,1.468,0.794
4886,0.949,0.366,2.654,0.866
2117,0.943,0.742,2.886,1.429
1548,0.841,0.464,1.393,0.482
2029,1.369,0.5,1.845,1.106
4328,3.071,0.699,1.559,0.636
5376,0.826,0.906,0.89,2.602
5219,3.3,0.808,1.448,0.411
355,1.821,0.371,2.158,0.836
4757,1.496,,1.781,1.041
3967,0.774,,2.666,0.9
5061,0.956,0.67,1.604,
4733,,0.48,1.767,1.36
4172,0.776,0.754,1.512,0.777
1172,0.799,0.783,,0.873
2642,1.421,0.727,1.617,2.082
325,0.791,0.766,2.789,1.599
1051,1.132,0.589,3.104,1.071
3898,,0.707,2.974,0.804
4998,1.731,0.482,2.61,1.072
4109,1.454,0.486,,1.314
4349,2.823,0.607,1.666,0.885
3912,0.6,0.759,2.252,
1751,0.778,0.793,,2.656
2063,0.762,,3.017,1.274
1772,,0.773,1.336,3.62
1196,1.018,0.908,2.35,1.602
1878,0.802,0.498,2.457,5.0
620,0.823,0.445,3.248,1.38
2389,1.515,0.735,,
3429,0.891,,,1.36
5218,3.3,0.812,1.448,0.411
1482,1.177,0.661,3.034,1.033
1189,,0.868,1.908,0.937
328,0.789,0.872,2.217,1.169
648,0.811,,,0.425
2802,0.85,0.643,0.889,1.256
897,1.265,0.714,,0.852
4816,0.648,0.757,,1.714
1123,1.488,,1.99,1.202
3244,0.802,0.494,1.855,1.057
5063,0.919,0.685,1.585,1.353
