,Imputation_Method_average,Imputed_average,Data_Constellation,Downstream Performance Rank Average,Imputation_Method_best,Imputed_best,Downstream Performance Rank Best,Performance Difference Best to Average
25,Random Forest,0.9891594931294444,MAR - 0.1 - 728,3.0,Mean/Mode,0.9891594931294444,1.0,0.0
26,Random Forest,0.9891594931294444,MAR - 0.3 - 728,3.0,Mean/Mode,0.9891594931294444,1.0,0.0
27,Random Forest,0.9891594931294444,MAR - 0.5 - 728,3.0,Mean/Mode,0.9891594931294444,1.0,0.0
28,Random Forest,0.9891594931294444,MCAR - 0.01 - 728,4.0,VAE,0.9873193180540718,1.0,-0.0018401750753725965
29,Random Forest,0.983772246740109,MCAR - 0.1 - 728,4.0,Mean/Mode,0.9807254583665636,1.0,-0.0030467883735454393
30,Random Forest,0.967691536386744,MCAR - 0.3 - 728,3.0,Mean/Mode,0.9676589042071964,1.0,-3.2632179547631424e-05
31,Random Forest,0.9577638047951188,MCAR - 0.5 - 728,4.0,KNN,0.9520494995176992,1.0,-0.005714305277419562
32,Random Forest,0.9891594931294444,MNAR - 0.01 - 728,3.0,Mean/Mode,0.9891594931294444,1.0,0.0
33,Random Forest,0.9891594931294444,MNAR - 0.1 - 728,3.0,Mean/Mode,0.9891594931294444,1.0,0.0
34,Random Forest,0.9891594931294444,MNAR - 0.3 - 728,3.0,Mean/Mode,0.9891594931294444,1.0,0.0
35,Random Forest,0.9891594931294444,MNAR - 0.5 - 728,3.0,Mean/Mode,0.9891594931294444,1.0,0.0
36,Random Forest,0.8278136100568401,MAR - 0.01 - 737,3.0,Mean/Mode,0.8278136100568401,1.0,0.0
37,Random Forest,0.8278136100568401,MAR - 0.1 - 737,3.0,Mean/Mode,0.8278136100568401,1.0,0.0
38,Random Forest,0.8278136100568401,MAR - 0.3 - 737,3.0,Mean/Mode,0.8278136100568401,1.0,0.0
39,Random Forest,0.8278136100568401,MAR - 0.5 - 737,3.0,Mean/Mode,0.8278136100568401,1.0,0.0
40,Random Forest,0.8208219410871483,MCAR - 0.01 - 737,2.0,VAE,0.8203668166025254,1.0,-0.0004551244846229263
41,Random Forest,0.8214481064705274,MCAR - 0.1 - 737,4.0,Mean/Mode,0.8069182902622442,1.0,-0.014529816208283197
42,Random Forest,0.7668126503610351,MCAR - 0.3 - 737,1.0,Random Forest,0.7668126503610351,1.0,0.0
43,Random Forest,0.7593690834378238,MCAR - 0.5 - 737,4.0,Mean/Mode,0.7420412911148923,1.0,-0.01732779232293158
44,Random Forest,0.8278136100568401,MNAR - 0.01 - 737,3.0,Mean/Mode,0.8278136100568401,1.0,0.0
45,Random Forest,0.8278136100568401,MNAR - 0.1 - 737,3.0,Mean/Mode,0.8278136100568401,1.0,0.0
46,Random Forest,0.8278136100568401,MNAR - 0.3 - 737,3.0,Mean/Mode,0.8278136100568401,1.0,0.0
47,Random Forest,0.8278136100568401,MNAR - 0.5 - 737,3.0,Mean/Mode,0.8278136100568401,1.0,0.0
48,Random Forest,0.9423495236386082,MAR - 0.01 - 803,4.0,KNN,0.9418835631051986,1.0,-0.0004659605334096373
49,Random Forest,0.9423495236386082,MAR - 0.1 - 803,4.0,VAE,0.941880801202808,1.0,-0.00046872243580020623
50,Random Forest,0.9423495236386082,MAR - 0.3 - 803,4.0,VAE,0.941880801202808,1.0,-0.00046872243580020623
51,Random Forest,0.9423495236386082,MAR - 0.5 - 803,3.0,KNN,0.9418835631051986,1.0,-0.0004659605334096373
52,Random Forest,0.9428235934894224,MCAR - 0.01 - 803,4.0,VAE,0.9425906073042984,1.0,-0.00023298618512390679
53,Random Forest,0.9402501945789477,MCAR - 0.1 - 803,3.0,Mean/Mode,0.9397787534196596,1.0,-0.0004714411592880996
54,Random Forest,0.9364792571487618,MCAR - 0.3 - 803,4.0,VAE,0.9264796460843966,1.0,-0.0099996110643652
55,Random Forest,0.9334625451566864,MCAR - 0.5 - 803,4.0,VAE,0.9124837178921926,1.0,-0.020978827264493738
56,Random Forest,0.9423495236386082,MNAR - 0.01 - 803,4.0,KNN,0.9418835631051986,1.0,-0.0004659605334096373
57,Random Forest,0.9423495236386082,MNAR - 0.1 - 803,4.0,KNN,0.9418835631051986,1.0,-0.0004659605334096373
58,Random Forest,0.9423495236386082,MNAR - 0.3 - 803,3.0,KNN,0.9418835631051986,1.0,-0.0004659605334096373
59,Random Forest,0.9423495236386082,MNAR - 0.5 - 803,4.0,KNN,0.9418835631051986,1.0,-0.0004659605334096373
60,Random Forest,0.9661408746313483,MAR - 0.01 - 823,3.0,Mean/Mode,0.9661408746313483,1.0,0.0
61,Random Forest,0.9661408746313483,MAR - 0.1 - 823,3.0,Mean/Mode,0.9661408746313483,1.0,0.0
62,Random Forest,0.9661408746313483,MAR - 0.3 - 823,3.0,Mean/Mode,0.9661408746313483,1.0,0.0
63,Random Forest,0.9661408746313483,MAR - 0.5 - 823,3.0,Mean/Mode,0.9661408746313483,1.0,0.0
64,Random Forest,0.964664351851852,MCAR - 0.01 - 823,3.0,Mean/Mode,0.9644965450785308,1.0,-0.00016780677332117744
65,Random Forest,0.9601612590751604,MCAR - 0.1 - 823,3.0,Mean/Mode,0.95966791435219,1.0,-0.0004933447229703569
66,Random Forest,0.9489508492466792,MCAR - 0.3 - 823,3.0,Mean/Mode,0.9480859930914182,1.0,-0.0008648561552609957
67,Random Forest,0.9391331418730876,MCAR - 0.5 - 823,1.0,Random Forest,0.9391331418730876,1.0,0.0
68,Random Forest,0.9661408746313483,MNAR - 0.01 - 823,3.0,Mean/Mode,0.9661408746313483,1.0,0.0
69,Random Forest,0.9661408746313483,MNAR - 0.1 - 823,3.0,Mean/Mode,0.9661408746313483,1.0,0.0
70,Random Forest,0.9661408746313483,MNAR - 0.3 - 823,3.0,Mean/Mode,0.9661408746313483,1.0,0.0
71,Random Forest,0.9661408746313483,MNAR - 0.5 - 823,3.0,Mean/Mode,0.9661408746313483,1.0,0.0
72,Random Forest,0.8406385013113177,MAR - 0.01 - 847,3.0,Mean/Mode,0.8406385013113177,1.0,0.0
73,Random Forest,0.8406385013113177,MAR - 0.1 - 847,3.0,Mean/Mode,0.8406385013113177,1.0,0.0
74,Random Forest,0.8406385013113177,MAR - 0.3 - 847,3.0,Mean/Mode,0.8406385013113177,1.0,0.0
75,Random Forest,0.8406385013113177,MAR - 0.5 - 847,3.0,Mean/Mode,0.8406385013113177,1.0,0.0
76,Random Forest,0.8398632850555302,MCAR - 0.01 - 847,1.0,Random Forest,0.8398632850555302,1.0,0.0
77,Random Forest,0.8473010269668378,MCAR - 0.1 - 847,1.0,Random Forest,0.8473010269668378,1.0,0.0
78,Random Forest,0.8408624384884457,MCAR - 0.3 - 847,2.0,VAE,0.8378022808733313,1.0,-0.003060157615114356
79,Random Forest,0.8409128824581237,MCAR - 0.5 - 847,4.0,VAE,0.8388284722253854,1.0,-0.0020844102327383096
80,Random Forest,0.8406385013113177,MNAR - 0.01 - 847,3.0,Mean/Mode,0.8406385013113177,1.0,0.0
81,Random Forest,0.8406385013113177,MNAR - 0.1 - 847,3.0,Mean/Mode,0.8406385013113177,1.0,0.0
82,Random Forest,0.8406385013113177,MNAR - 0.3 - 847,3.0,Mean/Mode,0.8406385013113177,1.0,0.0
83,Random Forest,0.8406385013113177,MNAR - 0.5 - 847,3.0,Mean/Mode,0.8406385013113177,1.0,0.0
84,Random Forest,0.513630363206711,MAR - 0.01 - 871,3.0,Mean/Mode,0.512487182486976,1.0,-0.0011431807197349597
85,Random Forest,0.513630363206711,MAR - 0.1 - 871,4.0,Mean/Mode,0.512487182486976,1.0,-0.0011431807197349597
86,Random Forest,0.513630363206711,MAR - 0.3 - 871,4.0,Mean/Mode,0.512487182486976,1.0,-0.0011431807197349597
87,Random Forest,0.513630363206711,MAR - 0.5 - 871,4.0,Mean/Mode,0.512487182486976,1.0,-0.0011431807197349597
88,Random Forest,0.5068181818181818,MCAR - 0.01 - 871,3.0,KNN,0.5059343434343434,1.0,-0.0008838383838384312
89,Random Forest,0.5140040978471342,MCAR - 0.1 - 871,2.0,Mean/Mode,0.4792524122948007,1.0,-0.03475168555233349
90,Random Forest,0.5198719098598338,MCAR - 0.3 - 871,2.0,KNN,0.5180388338425038,1.0,-0.0018330760173299598
91,Random Forest,0.4684964704844345,MCAR - 0.5 - 871,1.0,Random Forest,0.4684964704844345,1.0,0.0
92,Random Forest,0.513630363206711,MNAR - 0.01 - 871,3.0,Mean/Mode,0.512487182486976,1.0,-0.0011431807197349597
93,Random Forest,0.513630363206711,MNAR - 0.1 - 871,4.0,Mean/Mode,0.512487182486976,1.0,-0.0011431807197349597
94,Random Forest,0.513630363206711,MNAR - 0.3 - 871,4.0,Mean/Mode,0.512487182486976,1.0,-0.0011431807197349597
95,Random Forest,0.513630363206711,MNAR - 0.5 - 871,4.0,Mean/Mode,0.512487182486976,1.0,-0.0011431807197349597
96,Random Forest,0.9929893847364024,MAR - 0.01 - 923,3.0,Mean/Mode,0.9929893847364024,1.0,0.0
97,Random Forest,0.9929893847364024,MAR - 0.1 - 923,3.0,Mean/Mode,0.9929893847364024,1.0,0.0
98,Random Forest,0.9929893847364024,MAR - 0.3 - 923,3.0,Mean/Mode,0.9929893847364024,1.0,0.0
99,Random Forest,0.9929893847364024,MAR - 0.5 - 923,3.0,Mean/Mode,0.9929893847364024,1.0,0.0
100,Random Forest,0.9951372302181104,MCAR - 0.01 - 923,4.0,VAE,0.9823146324720164,1.0,-0.012822597746093956
101,Random Forest,0.9838465734924184,MCAR - 0.1 - 923,3.0,VAE,0.9784276228917972,1.0,-0.005418950600621253
102,Random Forest,0.9469714681800728,MCAR - 0.3 - 923,3.0,Mean/Mode,0.9210019072983324,1.0,-0.025969560881740406
103,Random Forest,0.9474838963196952,MCAR - 0.5 - 923,4.0,VAE,0.914767383779869,1.0,-0.032716512539826215
104,Random Forest,0.9929893847364024,MNAR - 0.01 - 923,3.0,Mean/Mode,0.9929893847364024,1.0,0.0
105,Random Forest,0.9929893847364024,MNAR - 0.1 - 923,3.0,Mean/Mode,0.9929893847364024,1.0,0.0
106,Random Forest,0.9929893847364024,MNAR - 0.3 - 923,3.0,Mean/Mode,0.9929893847364024,1.0,0.0
107,Random Forest,0.9929893847364024,MNAR - 0.5 - 923,3.0,Mean/Mode,0.9929893847364024,1.0,0.0
108,Random Forest,0.7910531156720516,MAR - 0.01 - 1046,4.0,VAE,0.7904584565280489,1.0,-0.000594659144002696
109,Random Forest,0.7910531156720516,MAR - 0.1 - 1046,4.0,VAE,0.7904584565280489,1.0,-0.000594659144002696
110,Random Forest,0.7910531156720516,MAR - 0.3 - 1046,4.0,VAE,0.790904531615149,1.0,-0.00014858405690265641
111,Random Forest,0.7910531156720516,MAR - 0.5 - 1046,4.0,VAE,0.790904531615149,1.0,-0.00014858405690265641
112,Random Forest,0.7904583486810877,MCAR - 0.01 - 1046,4.0,KNN,0.7900751897279109,1.0,-0.0003831589531767543
113,Random Forest,0.7925161788265102,MCAR - 0.1 - 1046,2.0,KNN,0.7908909181153306,1.0,-0.0016252607111795214
114,Random Forest,0.78952448895005,MCAR - 0.3 - 1046,3.0,Mean/Mode,0.7881116693269427,1.0,-0.001412819623107353
115,Random Forest,0.7914053535991942,MCAR - 0.5 - 1046,4.0,Mean/Mode,0.7860556406312816,1.0,-0.005349712967912534
116,Random Forest,0.7910531156720516,MNAR - 0.01 - 1046,4.0,VAE,0.790904531615149,1.0,-0.00014858405690265641
117,Random Forest,0.7910531156720516,MNAR - 0.1 - 1046,4.0,VAE,0.7904584565280489,1.0,-0.000594659144002696
118,Random Forest,0.7910531156720516,MNAR - 0.3 - 1046,4.0,VAE,0.790904531615149,1.0,-0.00014858405690265641
119,Random Forest,0.7910531156720516,MNAR - 0.5 - 1046,4.0,VAE,0.790904531615149,1.0,-0.00014858405690265641
120,Random Forest,0.7606412742786901,MAR - 0.01 - 1120,3.0,Mean/Mode,0.7606412742786901,1.0,0.0
121,Random Forest,0.7606412742786901,MAR - 0.1 - 1120,3.0,Mean/Mode,0.7606412742786901,1.0,0.0
122,Random Forest,0.7606412742786901,MAR - 0.3 - 1120,3.0,Mean/Mode,0.7606412742786901,1.0,0.0
123,Random Forest,0.7606412742786901,MAR - 0.5 - 1120,3.0,Mean/Mode,0.7606412742786901,1.0,0.0
124,Random Forest,0.7598164154316077,MCAR - 0.01 - 1120,3.0,Mean/Mode,0.7597328706812009,1.0,-8.354475040683873e-05
125,Random Forest,0.757744738196048,MCAR - 0.1 - 1120,1.0,Random Forest,0.757744738196048,1.0,0.0
126,Random Forest,0.7502936159263666,MCAR - 0.3 - 1120,1.0,Random Forest,0.7502936159263666,1.0,0.0
127,Random Forest,0.7557145287912591,MCAR - 0.5 - 1120,3.0,Mean/Mode,0.746368167979449,1.0,-0.009346360811810062
128,Random Forest,0.7606412742786901,MNAR - 0.01 - 1120,3.0,Mean/Mode,0.7606412742786901,1.0,0.0
129,Random Forest,0.7606412742786901,MNAR - 0.1 - 1120,3.0,Mean/Mode,0.7606412742786901,1.0,0.0
130,Random Forest,0.7606412742786901,MNAR - 0.3 - 1120,3.0,Mean/Mode,0.7606412742786901,1.0,0.0
131,Random Forest,0.7606412742786901,MNAR - 0.5 - 1120,3.0,Mean/Mode,0.7606412742786901,1.0,0.0
132,Random Forest,0.5515889578625556,MAR - 0.01 - 1471,3.0,Mean/Mode,0.5515889578625556,1.0,0.0
133,Random Forest,0.5515889578625556,MAR - 0.1 - 1471,3.0,Mean/Mode,0.5515889578625556,1.0,0.0
134,Random Forest,0.5515889578625556,MAR - 0.3 - 1471,3.0,Mean/Mode,0.5515889578625556,1.0,0.0
135,Random Forest,0.5515889578625556,MAR - 0.5 - 1471,3.0,Mean/Mode,0.5515889578625556,1.0,0.0
136,Random Forest,0.5507270660059743,MCAR - 0.01 - 1471,3.0,Mean/Mode,0.5499728508571506,1.0,-0.0007542151488236781
137,Random Forest,0.5513945054238186,MCAR - 0.1 - 1471,1.0,Random Forest,0.5513945054238186,1.0,0.0
138,Random Forest,0.5460014546997302,MCAR - 0.3 - 1471,1.0,Random Forest,0.5460014546997302,1.0,0.0
139,Random Forest,0.5376759544991333,MCAR - 0.5 - 1471,3.0,Mean/Mode,0.5371296593459478,1.0,-0.0005462951531854943
140,Random Forest,0.5515889578625556,MNAR - 0.01 - 1471,3.0,Mean/Mode,0.5515889578625556,1.0,0.0
141,Random Forest,0.5515889578625556,MNAR - 0.1 - 1471,3.0,Mean/Mode,0.5515889578625556,1.0,0.0
142,Random Forest,0.5515889578625556,MNAR - 0.3 - 1471,3.0,Mean/Mode,0.5515889578625556,1.0,0.0
143,Random Forest,0.5515889578625556,MNAR - 0.5 - 1471,3.0,Mean/Mode,0.5515889578625556,1.0,0.0
144,Random Forest,0.6966818891700025,MAR - 0.01 - 1489,3.0,KNN,0.6963989503155196,1.0,-0.0002829388544829392
145,Random Forest,0.6966818891700025,MAR - 0.1 - 1489,3.0,KNN,0.6963989503155196,1.0,-0.0002829388544829392
146,Random Forest,0.6966818891700025,MAR - 0.3 - 1489,3.0,KNN,0.6963989503155196,1.0,-0.0002829388544829392
147,Random Forest,0.6966818891700025,MAR - 0.5 - 1489,3.0,KNN,0.6963989503155196,1.0,-0.0002829388544829392
148,Random Forest,0.6950703686226533,MCAR - 0.01 - 1489,1.0,Random Forest,0.6950703686226533,1.0,0.0
149,Random Forest,0.6902134161839952,MCAR - 0.1 - 1489,2.0,VAE,0.6875535290310992,1.0,-0.002659887152896001
150,Random Forest,0.655114652898266,MCAR - 0.3 - 1489,4.0,VAE,0.601088306785709,1.0,-0.05402634611255697
151,Random Forest,0.6848028998330467,MCAR - 0.5 - 1489,2.0,KNN,0.6755723826009673,1.0,-0.00923051723207935
152,Random Forest,0.6966818891700025,MNAR - 0.01 - 1489,4.0,KNN,0.6963989503155196,1.0,-0.0002829388544829392
153,Random Forest,0.6966818891700025,MNAR - 0.1 - 1489,4.0,KNN,0.6963989503155196,1.0,-0.0002829388544829392
154,Random Forest,0.6963989503155196,MNAR - 0.3 - 1489,2.0,KNN,0.6963989503155196,1.0,0.0
155,Random Forest,0.6966818891700025,MNAR - 0.5 - 1489,3.0,KNN,0.6963989503155196,1.0,-0.0002829388544829392
156,Random Forest,0.7723727286709292,MAR - 0.01 - 1496,3.0,KNN,0.7721415778228882,1.0,-0.00023115084804103958
157,Random Forest,0.7723727286709292,MAR - 0.1 - 1496,3.0,KNN,0.7721415778228882,1.0,-0.00023115084804103958
158,Random Forest,0.7723727286709292,MAR - 0.3 - 1496,3.0,KNN,0.7721415778228882,1.0,-0.00023115084804103958
159,Random Forest,0.7723727286709292,MAR - 0.5 - 1496,3.0,KNN,0.7721415778228882,1.0,-0.00023115084804103958
160,Random Forest,0.7716792761268061,MCAR - 0.01 - 1496,3.0,Mean/Mode,0.7716792761268061,1.0,0.0
161,Random Forest,0.772834788168753,MCAR - 0.1 - 1496,3.0,Mean/Mode,0.7724240682513438,1.0,-0.0004107199174091525
162,Random Forest,0.7701218854559909,MCAR - 0.3 - 1496,1.0,Random Forest,0.7701218854559909,1.0,0.0
163,Random Forest,0.7717698463181096,MCAR - 0.5 - 1496,4.0,VAE,0.7683858019169844,1.0,-0.0033840444011252746
164,Random Forest,0.7723727286709292,MNAR - 0.01 - 1496,3.0,KNN,0.7721415778228882,1.0,-0.00023115084804103958
165,Random Forest,0.7723727286709292,MNAR - 0.1 - 1496,3.0,KNN,0.7721415778228882,1.0,-0.00023115084804103958
166,Random Forest,0.7723727286709292,MNAR - 0.3 - 1496,3.0,KNN,0.7721415778228882,1.0,-0.00023115084804103958
167,Random Forest,0.7723727286709292,MNAR - 0.5 - 1496,3.0,KNN,0.7721415778228882,1.0,-0.00023115084804103958
168,Random Forest,0.9810611600222292,MAR - 0.01 - 1507,3.0,Mean/Mode,0.9810611600222292,1.0,0.0
169,Random Forest,0.9810611600222292,MAR - 0.1 - 1507,3.0,Mean/Mode,0.9810611600222292,1.0,0.0
170,Random Forest,0.9810611600222292,MAR - 0.3 - 1507,3.0,Mean/Mode,0.9810611600222292,1.0,0.0
171,Random Forest,0.9810611600222292,MAR - 0.5 - 1507,3.0,Mean/Mode,0.9810611600222292,1.0,0.0
172,Random Forest,0.9803856244724524,MCAR - 0.01 - 1507,3.0,Mean/Mode,0.9803856244724524,1.0,0.0
173,Random Forest,0.9799329727258348,MCAR - 0.1 - 1507,1.0,Random Forest,0.9799329727258348,1.0,0.0
174,Random Forest,0.9806102292593336,MCAR - 0.3 - 1507,2.0,VAE,0.9801581942403822,1.0,-0.0004520350189514133
175,Random Forest,0.9799361432049142,MCAR - 0.5 - 1507,4.0,Mean/Mode,0.976555204045686,1.0,-0.0033809391592282134
176,Random Forest,0.9810611600222292,MNAR - 0.01 - 1507,3.0,Mean/Mode,0.9810611600222292,1.0,0.0
177,Random Forest,0.9810611600222292,MNAR - 0.1 - 1507,3.0,Mean/Mode,0.9810611600222292,1.0,0.0
178,Random Forest,0.9810611600222292,MNAR - 0.3 - 1507,3.0,Mean/Mode,0.9810611600222292,1.0,0.0
179,Random Forest,0.9810611600222292,MNAR - 0.5 - 1507,3.0,Mean/Mode,0.9810611600222292,1.0,0.0
180,Random Forest,0.6317449796753936,MAR - 0.01 - 1558,3.0,Mean/Mode,0.6317449796753936,1.0,0.0
181,Random Forest,0.6317449796753936,MAR - 0.1 - 1558,3.0,Mean/Mode,0.6317449796753936,1.0,0.0
182,Random Forest,0.6317449796753936,MAR - 0.3 - 1558,3.0,Mean/Mode,0.6317449796753936,1.0,0.0
183,Random Forest,0.6317449796753936,MAR - 0.5 - 1558,3.0,Mean/Mode,0.6317449796753936,1.0,0.0
184,Random Forest,0.6192776920821489,MCAR - 0.01 - 1558,3.0,Mean/Mode,0.6192776920821489,1.0,0.0
185,Random Forest,0.701189631033687,MCAR - 0.1 - 1558,4.0,Mean/Mode,0.6279284642702371,1.0,-0.07326116676344996
186,Random Forest,0.6896985098127879,MCAR - 0.3 - 1558,3.0,KNN,0.6873206924517916,1.0,-0.0023778173609962927
187,Random Forest,0.657782595090244,MCAR - 0.5 - 1558,3.0,Mean/Mode,0.6546837833036739,1.0,-0.0030988117865700104
188,Random Forest,0.6317449796753936,MNAR - 0.01 - 1558,3.0,Mean/Mode,0.6317449796753936,1.0,0.0
189,Random Forest,0.6317449796753936,MNAR - 0.1 - 1558,3.0,Mean/Mode,0.6317449796753936,1.0,0.0
190,Random Forest,0.6317449796753936,MNAR - 0.3 - 1558,3.0,Mean/Mode,0.6317449796753936,1.0,0.0
191,Random Forest,0.6317449796753936,MNAR - 0.5 - 1558,3.0,Mean/Mode,0.6317449796753936,1.0,0.0
192,Random Forest,0.6563899868247693,MAR - 0.01 - 40701,3.0,Mean/Mode,0.6563899868247693,1.0,0.0
193,Random Forest,0.6563899868247693,MAR - 0.1 - 40701,3.0,Mean/Mode,0.6563899868247693,1.0,0.0
194,Random Forest,0.6563899868247693,MAR - 0.3 - 40701,3.0,Mean/Mode,0.6563899868247693,1.0,0.0
195,Random Forest,0.6563899868247693,MAR - 0.5 - 40701,3.0,Mean/Mode,0.6563899868247693,1.0,0.0
196,Random Forest,0.657450245705441,MCAR - 0.01 - 40701,3.0,Mean/Mode,0.6570968260785505,1.0,-0.00035341962689050543
197,Random Forest,0.6301358438032384,MCAR - 0.1 - 40701,4.0,VAE,0.6254320885084638,1.0,-0.004703755294774625
198,Random Forest,0.6272235139988438,MCAR - 0.3 - 40701,4.0,VAE,0.6229791502058281,1.0,-0.004244363793015737
199,Random Forest,0.6345640461885473,MCAR - 0.5 - 40701,1.0,Random Forest,0.6345640461885473,1.0,0.0
200,Random Forest,0.6563899868247693,MNAR - 0.01 - 40701,3.0,Mean/Mode,0.6563899868247693,1.0,0.0
201,Random Forest,0.6563899868247693,MNAR - 0.1 - 40701,3.0,Mean/Mode,0.6563899868247693,1.0,0.0
202,Random Forest,0.6563899868247693,MNAR - 0.3 - 40701,3.0,Mean/Mode,0.6563899868247693,1.0,0.0
203,Random Forest,0.6563899868247693,MNAR - 0.5 - 40701,3.0,Mean/Mode,0.6563899868247693,1.0,0.0
204,Random Forest,0.667808602048793,MAR - 0.01 - 40983,4.0,VAE,0.6672553784152195,1.0,-0.000553223633573463
205,Random Forest,0.667808602048793,MAR - 0.1 - 40983,4.0,VAE,0.6667084678205399,1.0,-0.001100134228253058
206,Random Forest,0.667808602048793,MAR - 0.3 - 40983,4.0,VAE,0.6672553784152195,1.0,-0.000553223633573463
207,Random Forest,0.667808602048793,MAR - 0.5 - 40983,4.0,VAE,0.6672553784152195,1.0,-0.000553223633573463
208,Random Forest,0.7398853400295362,MCAR - 0.01 - 40983,4.0,KNN,0.7309970866824184,1.0,-0.008888253347117847
209,Random Forest,0.6634080432363695,MCAR - 0.1 - 40983,4.0,VAE,0.5756965863939442,1.0,-0.08771145684242532
210,Random Forest,0.540885262990279,MCAR - 0.3 - 40983,3.0,VAE,0.4854712646535455,1.0,-0.05541399833673344
211,Random Forest,0.5195684250821228,MCAR - 0.5 - 40983,3.0,Mean/Mode,0.4851970453799397,1.0,-0.03437137970218307
212,Random Forest,0.667808602048793,MNAR - 0.01 - 40983,4.0,VAE,0.6672553784152195,1.0,-0.000553223633573463
213,Random Forest,0.667808602048793,MNAR - 0.1 - 40983,4.0,VAE,0.6672553784152195,1.0,-0.000553223633573463
214,Random Forest,0.667808602048793,MNAR - 0.3 - 40983,4.0,VAE,0.6672553784152195,1.0,-0.000553223633573463
215,Random Forest,0.667808602048793,MNAR - 0.5 - 40983,4.0,VAE,0.6672553784152195,1.0,-0.000553223633573463
216,Random Forest,0.9135518497220624,MAR - 0.01 - 41146,3.0,Mean/Mode,0.9135518497220624,1.0,0.0
217,Random Forest,0.9135518497220624,MAR - 0.1 - 41146,3.0,Mean/Mode,0.9135518497220624,1.0,0.0
218,Random Forest,0.9135518497220624,MAR - 0.3 - 41146,3.0,Mean/Mode,0.9135518497220624,1.0,0.0
219,Random Forest,0.9135518497220624,MAR - 0.5 - 41146,3.0,Mean/Mode,0.9135518497220624,1.0,0.0
220,Random Forest,0.9166845968108248,MCAR - 0.01 - 41146,3.0,Mean/Mode,0.9166845968108248,1.0,0.0
221,Random Forest,0.9127943345203589,MCAR - 0.1 - 41146,1.0,Random Forest,0.9127943345203589,1.0,0.0
222,Random Forest,0.9083243988765208,MCAR - 0.3 - 41146,2.0,VAE,0.9083231181524132,1.0,-1.280724107655118e-06
